id	en	id_text
41	If I find him on this boat again, I'll personally wring his neck	Bila aku mendapati dia menaiki kapal ini lagi, aku sendiri yang akan memelintir lehernya
42	Who feeds the machines with their own flesh ―	Siapa yang memberi makan mesin dengan daging mereka sendiri
43	You promised to let me go after I plant the explosives	Kau berjanji akan melepaskanku setelah menguburkan bahan peledak
44	Perhaps you'd come and have supper with us tonight	Mungkin kau bisa datang makan malam sama kami malam ini. - Ibu, aku
45	Put 'em anyplace you like, except in my face	Taruhlah ke mana saja yang kau suka, selain di wajahku
46	Tell--what's his name-- Baldwin to bring me a clean copy of act 3	Tentu saja. Oh, kataku, bennett, ini sangat tidak terbaca. Katakan... siapa namanya... baldwin untuk membawakanku salinan bersih dari babak 3
47	She had a quick change-over from a barmaid to a Salvation Army lass	Dia mendapat kembalian cepat dari pelayan bar untuk seorang gadis tentara keselamatan
48	You said your brother is a famous pyrotechnician in the capital	Kau pernah bilang, kakakmu adalah master kembang api yang terkenal di ibu kota
49	We only took our eyes off of him about 2 seconds	Kita hanya mengalihkan pandangan dari dia sekitar 2 detik
50	Well, you know, I find it very difficult to believe that a girl of that sort should do such a thing	Nah, kau tahu, aku merasa sangat sulit untuk percaya bahwa seorang gadis seperti itu harus melakukan hal seperti itu
51	Right now, nothing is more important to me than having them live on	Saat ini bagiku, yang terpenting adalah mereka dapat hidup dengan baik
52	You captured Feng Kongkong to blow up the Imperial City, right	Kalian menangkap Feng Kongkong untuk meledakkan kota kekaisaran, kan
53	Well, whoever she was, she could not have been half as beautiful as you are right now	Siapapun dia, dia tidak ada setengahnya secantik kau saat ini
54	This time, thanks to Luo Li, who held back the Lantern Ghost King, we could drive out of the Waters of Death	Kali ini, untung ada Luo Li yang mengendalikan Raja Hantu Lentera, kita baru bisa selamat dan keluar dari Laut Mati
55	Laosi, she earned a lot of dirty money, but she didn't share it with you	Raja Keempat, dia menghasilkan banyak uang kotor dan tidak dibagikan kepada kalian
56	Varna - 12 July Crew - minus myself as captain: one helmsman	Varna - 12 Juli Anggota Kru- selain diriku sebagai Kapten, satu pengemudi, satu perwira kapal, dan lima kelasi
57	I take it you haven't come to any decision at all	Kurasa kau belum datang untuk keputusan apa pun
58	She has been my life since the day she was willing to sacrifice her life for me	Sejak saat dia bersedia bekerja keras untukku, dia adalah hidupku
59	Why, she's down at the station, I expect	Siapa, rindu memamerkan? Kenapa, dia ada di stasiun, kuharap
60	Xiao Tang knows nothing about us right now	Saat ini Tang belum tahu apa pun tentang kita
61	I just wanted to say good-bye to you before you left and... thank you for being so sweet to me that day in the office	Aku hanya ingin mengucapkan selamat tinggal sebelum kau pergi dan... berterima kasih karena begitu baik padaku hari itu di kantor
62	How do we live with your mother in the future	Bagaimana aku bisa tinggal bersama ibu aku nanti
63	Especially if it's something that can be used as evidence	Terutama barang yang dapat menjadi bukti di pengadilan
64	We should coordinate with homeland, get their faces everywhere	Kita sebaiknya koordinasi dengan domestik, untuk menempatkan wajah mereka dimana-mana
65	People who do wrong have got to be punished somehow	Orang yang berbuat salah entah bagaimana harus dihukum
66	If you really care for me come tonight	Bila kau sungguh sayang padaku datanglah malam ini
67	I think maybe the kaiser wanted a war	Aku pikir mungkin Kaisar yang menginginkan sebuah perang
68	The Minister of War, Zheng Yan, was assassinated at Zuixian Restaurant this evening	Menteri Kementerian Perang, Zheng Yan, malam ini dibunuh di Restoran Zuixian
69	We also don't know their real intentions for taking your brother	Kita juga tidak tahu apa tujuan mereka menangkap kakakmu
70	Two men walked and never talked, hunger gnawed their bones	tiga orang bersama tapi tak pernah bicara, kelaparan menggerogoti tulang mereka
71	Let me know what NTSB says about that downed aircraft	Kabari aku apa yang dikatakan NTSB mengenai pesawat yang mendarat itu
72	Several weeks had passed since her coming and still she lingered	Beberapa minggu telah berlalu sejak kedatangannya tapi dia masih tinggal di sana
73	And we feel that if the murder were approached from another angle, it--oh, sorry. We shall be able to arrive at a different result	Dan kita merasa jika pembunuhan itu didekati dari sudut lain, itu... oh, maaf. kita akan mampu untuk mendapatkan hasil yang berbeda
74	Here I am cryin' instead of being glad	Di sini ibu terbaring dan menangis jauh dari perasaan senang
75	Father sent me to tell you that we've made a terrible mistake	Ayah mengutusku untuk bilang padamu bahwa kami telah membuat kesalahan
76	If the Heart-Machine perishes, nothing in the Machine-District will be left standing ―	Jika Inti Mesin mati, tidak akan ada di Distrik Mesin yang tersisa berdiri
77	and where are the people, Father, whose hands built your city ―	dan di mana orang-orang, Ayah, yang tangannya membangun kotamu
78	So we've captured a remnant of the previous dynasty	Jadi yang kita tangkap adalah penyintas dinasti sebelumnya
79	Let's go straight to the Coastguard Commission and kill them	Kita serang Departemen Polisi Laut, dan bunuh mereka semua
80	This is the story of a boy who tried it	Ini adalah kisah seorang pemuda yang mencoba melakukannya
81	And don't you bring it up here again	Turunkan anak kucing ini dan jangan kau bawa ke sini lagi
82	The Western and Atlantic Flyer speeding into Marrietta, Ga., in the Spring 1861	The Western and Atlantic Flyer melaju menuju Marrietta, Ga., musim semi 1861
83	Far, far away from home, he finally lands on one of the magic islands of Wak-Wak	Jauh, nun jauh dari rumah, ia akhirnya mendarat di salah satu pulau sihir Wak -Wak
84	You see, I'm very particular about whom I dance with	Kau lihat, akan sangat special dengan siapa aku menari
85	Find out what time Fane comes on tonight	Cari tahu jam berapa fane datang malam ini
86	Ohh... I'm no good for back there any more, Kat	Aku tak ingin kembali ke sana lagi, Kat
87	I will set sail if she wants to set sail	Jika dia ingin berlayar, aku akan berlayar untuknya
88	I'd give it all up if I could find someone honest and worthwhile	Aku akan memberikan semuanya jika aku bisa menemukan seseorang yang jujur ​​dan bermanfaat
89	Then suddenly... Suddenly, last night, she changed, asked if they could make it up	Kemudian tiba-tiba... tiba-tiba, tadi malam, dia berubah, ditanya apakah mereka bisa menebusnya
90	Now then, watch this and see if you can do it	Nah sekarang, saksikan ini dan kita lihat apa kau bisa melakukannya
91	No, it was my old job, and I've gone back to it because times have been a little difficult and-- however, I understand you wouldn't be starting for 2 or 3 weeks	Tidak, itu pekerjaan lamaku, itu dan aku telah kembali ke karena waktu agak sulit dan... ng bagaimanapun, aku mengerti kau tidak akan mulai selama 2 atau 3 minggu
92	Druce and miss Baring leave the theatre together last night	Nyonya. Druce dan rindu memamerkan meninggalkan teater bersama tadi malam
93	I have invited Tu Gedong, a scholar from the new land who has studied sea maps elaborately	Berasal dari Tanah Baru. Aku sudah mendatangkan peneliti peta laut, Tu Gedong
94	Before evening falls, King Gunther, your shattered weapons shall adorn my hall	Sebelum malam turun, Raja Gunther, senjatamu yang hancur akan menghiasi aulaku
95	Unfortunately, Lizzy, you're chest-deep in filth, and you're gonna have to wade through it	Sayangnya, Lizzy, kau hanya kotor sebatas dada, dan kau harus bisa melaluinya
96	And, if you boys want to come home, eh... let me show you what you must do before you can come home	Bila kau ingin kembali... biar aku perlihatkan padamu apa yang harus kau lakukan sebelum kau bisa kembali
97	Your father risked his life] [to protect the last secret order,] [but it ended up inviting trouble	Ayahmu mengorbankan nyawanya untuk melindungi satunya. Tanpa diduga malah mengundang masalah
98	Four months ago, she signaled to one of our assets that she had a willingness to talk about a secret weapons program	Empat bulan yang lalu, dia memberikan signal pada salah satu aset kita bahwa dia berkeinginan untuk berbicara mengenai sebuah program senjata rahasia
99	I've been practicing in the Kunlun Mountains for over 300 years. I have always been dedicated and diligent	Murid berlatih di Gunung Kunlun selama 300 tahun lebih, sudah bekerja keras dan rajin
100	Lock yourself up in your own room... For one day	Kunci dirimu di kamarmu sendiri... untuk satu hari
101	Get more children and make glorious wars to be rid of	Dapatkan lebih banyak anak dan membuat perang yang mulia untuk disingkirkan
102	They got him behind the lines, and we never heard of him since	Mereka memergokinya di belakang medan pertempuran, kami tak pernah mendengarnya sejak saat itu
103	Beyonde deliverance he doth dwell in gastlie caves, sepulchres and coffins, filled so with god-curst earth from the fields of the Black Death	Makhluk iblis ini hidup di gua, kuburan, dan peti mayat, apapun yang diisi dengan tanah terkutuk dari negeri Wabah Hitam
104	Tomorrow thousands will ask in fury and desperation	Besok ribuan orang akan bertanya dalam kemarahan dan keputusasaan
105	They forward my letters home and cable my folks once a month	Mereka mengirimkan surat-suratku ke rumah dan menelegram orang tuaku sekali sebulan
106	Tell me what you know and I'll tell you what I know	Beri tahu semua yang kau tahu, aku juga melakukan yang sama
107	Ah, none of them bimbos ever write me	Tak ada di antara wanita itu yang pernah mengirimiku
108	The water demon family became less angry, the water demon family became less angry	Negara ini tidak terlalu marah dan tidak terlalu marah
109	Didn't I tell you this was gonna be a bad one	Bukankah aku sudah bilang ini akan bertambah buruk
110	Although the Nine Tails is beautiful, she is also very cunning	Meskipun Gu Mi Ho ini sangat cantik, tapi dia sangat licik
111	I think perhaps we better, uh... Accept sir John's offer after all, don't you	Aku pikir mungkin kita lebih baik, eh... terima tawaran tuan john, iya kan
112	If I tell you everything, I'm afraid we'll die sooner	Jika aku mengatakan semuanya, mungkin kalian akan mati lebih cepat
113	Mother, I feel as if the blood is draining from my heart	Ibu, aku merasa seolah darahku diperas dari jantungku
114	It is crucial that we obtain the Nibelungen treasure	Sangat penting bagi kita untuk memiliki harta karun Nibelung
115	I felt a bit of a fool when I finished because he simply turned around and he said I didn't know what I was talking about	Aku merasa agak bodoh ketika aku selesai karena dia hanya berbalik dan dia bilang aku tidak tahu apa yang aku bicarakan
116	Well, it ought to be condemned, the first good wind would sink it anyhow	Itu harus disita, angin kencang utama bakal menenggelamkannya
117	There in that frozen wilderness a dream came true, and a lone voice shrieked into the solemn sky	berada di padang gurun es adalah mimpi yang menjadi kenyataan, dengan berteriak ke langit
118	I may not be back for quite a while	Kami akan piknik ke seberang.6448Don't be afraid of me
119	You raised me and kept me close for 15 years. Was it just to get the secret order	Kau membesarkanku selama 15 tahun apa hanya demi perintah rahasia
120	The contents of this secret order might be able to stop Princess Li Rong	Isi perintah rahasia ini mungkin bisa menghentikan Putri Lirong
121	I knew what Edna was trying to tell me	Aku tahu apa yang coba dikatakan Edna padaku
122	And as he went looking for Georgia, so Big Jim went looking for him	Dan saat ia pergi mencari Georgia, sehingga Big Jim juga pergi mencarinya
123	He's uncanny. If there's any food within 25 miles, he'll be the one to get it	Jika ada makanan dalam jarak 25 mil, dia yang pertama yang akan mendapatkannya
124	We got to start all over, bottom of the ladder	Kita harus mulai dari awal kembali, dari yang paling bawah
125	Praise silence, all of you, on the pain of imprisonment while sentence of death is passed upon the prisoner at the bar	Puji keheningan, kalian semua, tentang rasa sakit karena penjara saat hukuman mati diteruskan ke tahanan di bar
126	Reddington says he has a lead on the brothers	Reddington bilang dia punya petunjuk soal Pavlovich bersaudara
127	Ah, he was the one who said prisoner was rough to mrs	Ah, dia yang bilang tahanan kasar terhadap Ny. Druce di atas panggung sekali
128	Be enstoned, all ye whom from stone I wrought	Berubahlah jadi batu, kalian semua yang kuciptakan dari batu
129	Ressler: Maybe it's some kind of a code or a language they don't understand	Mungkin ini semacam kode atau sebuah bahasa yang tidak dimengerti mereka
130	If I'm gonna bump off the enemy, I gotta have some practise	Kalau aku bunuh musuh, aku harus ikuti beberapa latihan
131	Ah, amusing the way she stood up to everybody	Ah, lucu cara dia berdiri untuk semua orang
132	So Hutter placed the anguished girl in the care of his friends, the rich shipowner Harding and his sister	Lalu Hutter mempercayakan istrinya yang risau pada temannya, Harding si pemilik kapal yang kaya raya dan adiknya
133	We're going to attack a town that we tried to take once before	Kami akan menyerang sebuah kota yang pernah kami lewati sebelumnya
134	Shorter gaps are indicated by small segments of black leader	Kekosongan yang lebih pendek ditunjukkan oleh segmen kecil kepala hitam
135	This is to notify that the steamer STONEWALL JACKSON... is unsafe and hereby CONDEMNED until further investigation	PEMBERITAHUAN INI UNTUK MEMBERITAHUKAN BAHWA KAPAL UAP STONEWALL JACKSON... TAK AMAN DAN DENGAN INI DISITA HINGGA PENYELIDIKAN LEBIH LANJUT
136	One is the entrance to the capital and the other is an exit that leads to this place	Satu terhubung dengan gerbang ibu kota. Satu lagi terhubung dengan pintu keluar ini
137	And ever since then, Hamacher has been having a grand time	Sejak saat itu, Hamacher mendapat perlakuan yang sangat baik
138	And you must come and see us some time	Terima kasih! Kapan-kapan kau harus datang mengunjungi kami
139	You remember your wife saw a policeman you went to the window and you couldn't see one	Kau ingat Istrimu melihat seorang polisi turun dari jalan. Kau pergi ke jendela dan kau tidak bisa melihatnya
140	We must find a ship to take us to London	Kita harus menemukan kapal untuk membawa kita ke London
141	Now they were homeward bound and they were leaving the hardship and toil of Alaska to live in the land of milk and honey	Sekarang mereka pulang terikat dengan kerja keras mereka meninggalkan kesulitan di Alaska untuk hidup di tanah tanpa susu dan madu
142	Freder witnesses a monk at the pulpit who preaches	Freder menyaksikan seorang biarawan di mimbar yang berkhotbah
143	They don't deny she did it but argue that their case is that the thing happened when... She was in a fit or something	Mereka tidak menyangkal dia melakukannya tetapi membantah bahwa kasus mereka bahwa hal itu terjadi ketika... dia sedang fit atau sesuatu
144	I didn't know that you two were fond of each other	Aku tak tahu kalian berdua suka satu sama lain
145	Ladies, you are evidently the victims of some practical joker	Para nyonya dan nona, kalian jelas-jelas korban dari perbuatan iseng seseorang.5872I must ask you to leave the church as quietly as possible
146	For in the world of the dancehall it wasn't wise for the girls to reveal their hearts	Untuk di dunia dari ruang dansa itu tak berani mengatakan padak gadis-gadis untuk mengungkapkan hati mereka
147	I've asked everyone who knows him, but not a single person saw him	Aku sudah bertanya kepada semua yang mengenalnya, tak ada satu pun yang melihatnya
148	You realize what you're admitting by your silence	Kau menyadari apa yang kau akui dengan kesunyianmu
149	You were gone for two days, and you didn't even send anyone to let me know	Dua hari ini kehilangan jejak. Sama sekali tidak memberi kabar
150	She was with the poker in her hand just by her side anyway	Dia sedang memegang poker di tangannya hanya di sisinya. Darah
151	Would somebody get General Ludendorff a nice, comfortable chair	Adakah seseorang yang berhasil merayu Jenderal Ludendorff dengan kursi yang nyaman
152	And then--ooh, and then there's Stevens, if the policeman's still on his beat	Dan kemudian... ooh, dan kemudian ada stevens, jika polisi itu masih terpukul
153	I will share with you guys since we are so cheerful	Hari ini senang sekali, aku akan memberikan sedikit kepada semuanya
154	They tell me there's some people in this world takes a bath every week	Mereka bilang padaku ada segelintir orang di dunia yang mandi setiap minggu
155	Iâd rather be dead than marrying to a ignoble creature like you	Aku rela mati. juga tidak akan menikahi orang sepertimu
156	It should never be seen again by the eyes of men	Ini tidak boleh terlihat lagi oleh mata manusia
157	Return, and be happy in the land of the mortals	Pulang, dan berbahagialah kalian di dunia yang fana
158	in the stone hurl, in the distance jump, in the spear throw	dalam melempar batu, dalam lompatan jauh, dalam melempar tombak
159	There are millions out there dying for their countries, and what good is it	Ada berjuta-juta di luar sana yang mati demi negara mereka, dan apa hasilnya
160	No sword in the world compares with Balmung	Tiada pedang di dunia ini yang sebanding dengan Balmung
161	I wanted to look into the faces of the people whose little children are my brothers, my sisters	Aku ingin melihat wajah orang-orang yang anak-anaknya adalah saudara laki-lakiku, saudara perempuanku
162	I finally know why you insist on using the Black Widow	Akhirnya aku mengerti kenapa kamu bersikeras berlayar dengan Black Widow
163	I need not remind you that in the eyes of the law, men and women are equal	Aku tidak perlu mengingatkan kau bahwa di mata hukum, pria dan wanita adalah setara
164	Mind you, I'm not speaking to you, you traitors	Asal kalian tahu, aku tak mau bicara dengan kalian, dasar tukang tipu
165	Doctor, the man in the next bed would like to see you, sir	Dokter, pasien di ranjang sebelah ingin menemuimu, pak
166	Years ago, when I started doing welfare work, it was quite the reverse	Bertahun-tahun lalu, waktu aku mulai melakukan pekerjaan sosial, itu sungguh sebaliknya
167	I didn't like to send them to where she is now	Aku tidak suka mengirimnya ke tempat dia sekarang
168	If you could put this plate on the table and bring up some hot water at once, just as you like, sir, but	Tolong sekarang, jika kau bisa meletakkan piring ini di atas meja dan bawakan air panas sekaligus, aku akan bangun. Seperti yang kau suka, Pak, tapi
169	"I got a crack in the head and they gave me a certificate stating... ""Josef Hamacher is periodically... not responsible for his actions"	Aku dapat benturan di kepala dan mereka memberiku surat keterangan yang menyatakan... bahwa Joseph Hammacher dalam keadaan tertentu tidak bisa dimintai pertanggungjawaban atas tindakannya
170	I'll make soldiers out of you or kill you	Aku akan jadikan kalian tentara pemberani atau aku bunuh kalian
171	"My grandfather left me a lot of money... ""...providing I marry some girl today"	Kakekku mewariskan padaku banyak uang... asalkan aku menikahi beberapa gadis hari ini
172	But this was what happened to Freder ― the son of Joh Fredersen, the master of Metropolis ― as he sought out the girl	Tapi inilah yang terjadi pada Freder - Putra Joh Fredersen, penguasa Metropolis - saat dia mencari gadis itu
173	It seems as though all war and terror and grossness... had fallen away from me... like a miracle	Sepertinya semua perang, teror, kengerian... telah menjauh dariku... seperti keajaiban
174	This is the best seller of our spring collection	Di toko kami, ini model musim semi terlaris
175	I see that we have come here with a slight misunderstanding... and we'll correct that, too, won't we, huh	Aku perhatikan kita ada di sini dengan sedikit kesalahpahaman... dan kita akan mengoreksinya, benar, kan, huh
176	The pyrotechnician at Lord Zheng's birthday party disappeared	Master kembang api di acara jamuan Tuan Zheng menghilang
177	And I have to prove to them that it might have been a man's voice, especially a high-pitched man's voice-- just like mr	Dan aku harus membuktikan kepada mereka bahwa itu mungkin suara pria, terutama suara pria bernada tinggi... seperti Tn
178	I do understand now. I thought your business was a little shady... but I didn't know it was gonna land me in jail	Kupikir bisnismu itu sedikit busuk... tapi aku tak tahu itu bakal menjebloskanku ke penjara
179	Verily, I say unto you: the days of which the Apocalypse speaks draw nigh	Sesungguhnya Aku berfirman kepadamu: hari-hari yang diucapkan oleh kiamat sudah dekat
180	We're investigating a case. How can we bring a lady along	Kita harus menyelidiki kasus, mana bisa mengajak seorang gadis
181	Told her it'd be good for her to gain experience	Bilang padanya itu akan baik untuknya untuk mendapatkan pengalaman dalam pemeliharaan
182	To avenge my father's death and the extermination of my family, I must end things here today	Dendam ayahku, pembantaian yang brutal, harus diakhiri hari ini
183	One dreams so heavily in this desolate castle, but fear not	Aku bermimpi sangat seram di kastil terpencil ini, tapi tidak usah khawatir
184	Will this help you to remember the name of the man you were quarelling about	Pernah. Apakah ini akan membantu kau mengingat namanya tentang pria yang kau perdebatkan
185	Take off the armlet, Kriemheld; the mistress of the Nibelungen treasure has no need for that which guards an ugly secret	Lepaskan gelang itu, Kriemhild, wanita pemilik harta karun Nibelung tidak memerlukan benda yang menyimpan rahasia menjijikkan itu
186	Siegfried, King Siegmund's son, shall have my welcome	Siegfried, putra dari Raja Siegmund, akan mendapatkan sambutanku
187	I've lurked around you for years using the Shadow Concealing Skill,] [but I still couldn't get close to you	Bertahun-tahun kugunakan jurus penghindar bayangan, tetap tak bisa mendekatimu
188	Say, you wouldn't let a pitcher climb way up there, would you	Hey, kau takkan biarkan pelempar ini naik ke atas sini, kan
189	Be here in the morning, and we'll try you out	Datanglah kemari besok pagi, kami akan mengetes kemampuanmu
190	Why shouldn't this one man's name be known	Mengapa nama orang yang satu ini tidak diketahui
191	Now, Markham... That policeman was 2 different people	Sekarang, markham... polisi itu adalah 2 orang yang berbeda
192	Earth-filled coffins were to be loaded onto the double-masted ship, the Empusa	Peti yang berisi tanah bumi dimuat ke sekunar dua tiang, Empusa
193	Let's land on the island and explore it first. We can discuss it later	Ayo mendarat ke pulau dulu untuk menjelajahi situasi, kemudian mempertimbangkan rencana jangka panjang
194	I said that every man in the war ought to have the lron Cross	Aku pikir setiap orang yang terlibat dalam perang berhak dapat medali Iron Cross
195	The monk's hand points to the Bible, in which it is written	Tangan biarawan menunjuk pada Alkitab, di mana ada tertulis
196	We pick it up at the dump and carry it to where we need it	Kita mengambilnya di gardu dan membawanya ke tempat yang kita butuhkan
197	When winter came and the leaves had fallen one by one And the snow had covered the hills and valleys He still wanted to tell her he loved her	Saat musim dingin datang dan dedaunan berguguran satu per satu... dan salju menyelimuti bukit dan lembah, dia masih ingin menyatakan cinta padanya
198	He was just homesick, but probably they couldn't see it that way	Dia benar-benar ingin sekali pulang, tapi kemungkinan mereka tak bisa mengerti hal itu
199	Somebody higher up don't want us to win	Ada yang posisinya lebih tinggi tak mau kami menang
200	But you must pass through the extremely dangerous Waters of Death	Tapi harus melewati Laut Mati yang sangat berbahaya
201	One of his words can throw the world into turmoil	Sepatah kata darinya, bisa menyebabkan kekacauan di dunia
202	In this city, who isn't a bad person	Di kota ini, siapa yang bukan orang jahat
203	I will hold the King of Pirates Convention at the Senluo Market	Aku akan adakan rapat besar raja bajak laut di Kota Sen Luohai
204	They start by playing the overture to Tristan und Isolde by Wagner	Mereka mulai dengan memainkan pembukaan totristan und isolde oleh wagner
205	Suddenly, it felt like someone hit me from behind and I passed out	Tiba-tiba aku merasa seperti dipukul dari belakang. Lalu aku pingsan
206	Of course, perhaps it's been... Hot stuff like she is, she thought one of her men was getting too keen on Diana Baring and wanted her out of the way	Tentu saja, mungkin sudah... hal-hal panas seperti dia, dia pikir salah satu anak buahnya terlalu tertarik pada diana baring dan ingin dia menyingkir
207	Today he and I drink together as blood brothers	Hari ini aku dan dirinya akan minum bersama sebagai saudara sedarah
208	Fane says he has decided to colloborate in my play after all	Uh... Fane mengatakan dia telah memutuskan untuk berkolaborasi dalam permainanku
209	The powers of the world changed hands] [and the cycle of destiny] [had been an unchanging principle since ancient times	Kekuasaan di dunia berubah. Siklus karma terus berputar. Ini aturan yang tak bisa diubah
210	No way! We can't leave until we've caught all the demons	Tidak bisa, siluman belum selesai dibasmi, gak boleh pergi
211	And as if to prove all I have said, here is one of the first to go	Seolah membuktikan semua yang aku katakan, ini adalah seseorang yang berpartisipasi sebelumnya
212	Let me give you... Some idea of the scene	Biarkan aku memberimu... beberapa gagasan tentang tempat kejadian
213	For example, our commissioner. He has an abacus in his heart	Misalnya Kepala kami, hatinya terisi dengan sebuah sempoa
214	You're talking about the team from the bridge that grabbed the general's daughter	Kau berbicara mengenai tim di jembatan yang menculik putri Jendral
215	There were two more copies of those damnable plans, Herr Fredersen in the pockets of two men who met with an accident today at the M-Machine	Ada dua salinan lagi dari rencana-rencana terkutuk itu, Herr Fredersen di kantong dua orang yang kecelakaan hari ini di Mesin M
216	Don't you find it a hell of a coincidence that we show up there, they're gone, and now we can't get ahold of Reddington	Kau tidak menyadari apakah itu kebetulan saat kita muncul disana, mereka telah pergi, dan sekarang kita tidak bisa menghubungi Reddington
217	They were calling about on the night of the murder	Maksudmu, nama pria itu yang mereka panggil pada malam pembunuhan itu
218	I swear to tell the truth, the whole truth... nothing but the truth	Saya bersumpah untuk mengatakan yang sebenarnya, semua kebenarannya... tidak ada yang lain selain kejujuran
219	And I suppose most of them never saw a German till they came up here	Aku rasa sebagian di antara mereka belum pernah melihat pasukan Jerman hingga mereka datang kemari
220	There'll be plenty of time to sleep... when you're gone	Akan ada banyak waktu untuk tidur... saat kau pergi
