id	en	hu
32	Megállapodás az EK és Románia között: részvétel a Kábítószer és a Kábítószerfüggőség Európai Megfigyelőközpontjának tevékenységében (szavazás	Megállapodás az EK és Románia között: részvétel a Kábítószer és a Kábítószerfüggőség Európai Megfigyelőközpontjának tevékenységében (szavazás
33	Őszintén szólva, nem igazán értem az önkéntes biztonsági megjelölést sem.	Őszintén szólva, nem igazán értem az önkéntes biztonsági megjelölést sem.
34	Tárgy: A független élet előmozdítása a fogyatékkal élő személyek számára	Tárgy: A független élet előmozdítása a fogyatékkal élő személyek számára
35	Elnök úr, engedelmével, válaszolnék az. sz., szóbeli választ igénylő kérdésre.	Elnök úr, engedelmével, válaszolnék az. sz., szóbeli választ igénylő kérdésre.
36	Ez - mármint az adagolás - a szűkösség mesterséges előidézése.	Ez - mármint az adagolás - a szűkösség mesterséges előidézése.
37	A globális hitelkockázat realistább értékelése mindkettő előnyére válna.	A globális hitelkockázat realistább értékelése mindkettő előnyére válna.
38	Az oktatás alapvető fontosságú az EU jövője szempontjából.	Az oktatás alapvető fontosságú az EU jövője szempontjából.
39	Az európai jelzálogpiac az Egyesült Államokétól eltérő jellemzőkkel bír, így a közeljövőben kevésbé valószínű bármily hasonló léptékű probléma felmerülése Európában.	Az európai jelzálogpiac az Egyesült Államokétól eltérő jellemzőkkel bír, így a közeljövőben kevésbé valószínű bármily hasonló léptékű probléma felmerülése Európában.
40	Húsz évvel ezelőtt a fertőző betegségeket nem tekintették jelentős veszélynek.	Húsz évvel ezelőtt a fertőző betegségeket nem tekintették jelentős veszélynek.
41	Megállapodás az EK és Törökország között: részvétel a Kábítószer és a Kábítószerfüggőség Európai Megfigyelőközpontjának tevékenységében (szavazás	Megállapodás az EK és Törökország között: részvétel a Kábítószer és a Kábítószerfüggőség Európai Megfigyelőközpontjának tevékenységében (szavazás
42	A két sólya bezárása tönkretenné ezt a nyereséget és ezt az eredményt.	A két sólya bezárása tönkretenné ezt a nyereséget és ezt az eredményt.
43	A polgári légi közlekedés területén a műszaki előírások és a közigazgatási eljárások összehangolása (szavazás	A polgári légi közlekedés területén a műszaki előírások és a közigazgatási eljárások összehangolása (szavazás
44	A jogszabályok nem puhák, a jogszabályok kényszerítő jellegűek.	A jogszabályok nem puhák, a jogszabályok kényszerítő jellegűek.
45	Az elhasználódott járművek (a Bizottságra ruházott végrehajtási hatáskörök) (szavazás	Az elhasználódott járművek (a Bizottságra ruházott végrehajtási hatáskörök) (szavazás
46	Szükségünk van egészségügyi és oktatási szolgáltatásokra, szükségünk van fenntartható szociális védőhálóra.	Szükségünk van egészségügyi és oktatási szolgáltatásokra, szükségünk van fenntartható szociális védőhálóra.
47	A férfiak 5%-a és a nők 1%-a alkoholfüggő.	A férfiak 5%-a és a nők 1%-a alkoholfüggő.
48	De ott van még az Asperger-féle tünetegyüttes is.	De ott van még az Asperger-féle tünetegyüttes is.
49	Szükség van a játékok biztonságáról szóló irányelv sürgős felülvizsgálatára.	Szükség van a játékok biztonságáról szóló irányelv sürgős felülvizsgálatára.
50	A közösségi jogalkotás egyszerűsítése (az eljárási szabályzat módosításai) (szavazás	A közösségi jogalkotás egyszerűsítése (az eljárási szabályzat módosításai) (szavazás
51	Itt óriási lehetőség van a megújuló energiaforrások használatára.	Itt óriási lehetőség van a megújuló energiaforrások használatára.
52	A célcsoport répatermesztőkből, inulinszirup-termelőkből és cikóriatermesztőkből tevődik össze.	A célcsoport répatermesztőkből, inulinszirup-termelőkből és cikóriatermesztőkből tevődik össze.
53	A transzeurópai közlekedési és energiahálózatok területén történő közösségi pénzügyi támogatás (szavazás	A transzeurópai közlekedési és energiahálózatok területén történő közösségi pénzügyi támogatás (szavazás
54	Elnök úr, összességében én üdvözlöm ezt a jelentést.	Elnök úr, összességében én üdvözlöm ezt a jelentést.
55	A vasúti, közúti és belvízi szállítási ágazatokra vonatkozó versenyszabályok alkalmazása (szavazás	A vasúti, közúti és belvízi szállítási ágazatokra vonatkozó versenyszabályok alkalmazása (szavazás
56	Másodsorban átlátható és méltányos hálózati hozzáférésre van szükségünk.	Másodsorban átlátható és méltányos hálózati hozzáférésre van szükségünk.
57	A kivégzésekre vonatkozó moratórium az első lépés az eltörlés felé.	A kivégzésekre vonatkozó moratórium az első lépés az eltörlés felé.
58	Alelnök úr, ön úriember, de ne kerteljünk: a tagállamok nem csinálták meg a leckéjüket.	Alelnök úr, ön úriember, de ne kerteljünk: a tagállamok nem csinálták meg a leckéjüket.
59	Az észt-orosz kétoldalú megállapodások koordinálták a Peipsi-tó érzékeny ökoszisztémájának és halállományának védelmét.	Az észt-orosz kétoldalú megállapodások koordinálták a Peipsi-tó érzékeny ökoszisztémájának és halállományának védelmét.
60	A gépjárműveknek a gépjárművezető menetirányú látótere tekintetében történő jóváhagyása (szavazás	A gépjárműveknek a gépjárművezető menetirányú látótere tekintetében történő jóváhagyása (szavazás
61	Az Európai Unió legtöbb országában a szegénység legfőbb oka a munkanélküliség.	Az Európai Unió legtöbb országában a szegénység legfőbb oka a munkanélküliség.
62	Ez a 2%-os csökkentés elképzelhetetlen a Számvevőszék esetében.	Ez a 2%-os csökkentés elképzelhetetlen a Számvevőszék esetében.
63	Az EU-n belüli gyártók felelősek az általuk előállított árukért.	Az EU-n belüli gyártók felelősek az általuk előállított árukért.
64	Ezt a célkitűzést akadályozza a Brazíliával való kétoldalú stratégiai partnerség.	Ezt a célkitűzést akadályozza a Brazíliával való kétoldalú stratégiai partnerség.
65	A 85/611/EGK tanácsi irányelv (átruházható értékpapírokkal foglalkozó kollektív befektetési vállalkozások) végrehajtásáról (szavazás	A 85/611/EGK tanácsi irányelv (átruházható értékpapírokkal foglalkozó kollektív befektetési vállalkozások) végrehajtásáról (szavazás
66	PNR-megállapodás az Egyesült Államokkal (benyújtott állásfoglalásra irányuló indítványok): lásd a jegyzokönyvet	PNR-megállapodás az Egyesült Államokkal (benyújtott állásfoglalásra irányuló indítványok): lásd a jegyzokönyvet
67	A veszélyes áruk nemzetközi szállítását nemzetközi megállapodások szabályozzák.	A veszélyes áruk nemzetközi szállítását nemzetközi megállapodások szabályozzák.
68	Itt Spanyolországról, Olaszországról, Belgiumról, az Egyesült Királyságról és Németországról beszélek.	Itt Spanyolországról, Olaszországról, Belgiumról, az Egyesült Királyságról és Németországról beszélek.
69	az európai szabályok megfelelő alkalmazása és teljesítése a tagállamok részéről;	az európai szabályok megfelelő alkalmazása és teljesítése a tagállamok részéről;
70	Két apró, de remélhetőleg nem jelentéktelen dologról van szó.	Két apró, de remélhetőleg nem jelentéktelen dologról van szó.
71	Az Európai Unió fél évszázados története a népek és népcsoportok közötti megbékélés története, a népek II. világháború utáni vezeklése, önvizsgálata.	Az Európai Unió fél évszázados története a népek és népcsoportok közötti megbékélés története, a népek II. világháború utáni vezeklése, önvizsgálata.
72	Határozat a SIS II létesítéséről, működtetéséről és felhasználásáról (szavazás	Határozat a SIS II létesítéséről, működtetéséről és felhasználásáról (szavazás
73	A kölcsönös elismerés hasonló a származási ország elvéhez.	A kölcsönös elismerés hasonló a származási ország elvéhez.
74	Először is, a játékok biztonságáról szóló irányelv kérdésére.	Először is, a játékok biztonságáról szóló irányelv kérdésére.
75	A gömbfa osztályozásáról szóló 68/89/EGK irányelv hatályon kívül helyezése (szavazás	A gömbfa osztályozásáról szóló 68/89/EGK irányelv hatályon kívül helyezése (szavazás
76	Méreg, és még kis mennyiségben is befolyásolja az egészségi állapotot.	Méreg, és még kis mennyiségben is befolyásolja az egészségi állapotot.
77	A strukturális politikák hatása és következményei az EU kohéziójára nézve (szavazás	A strukturális politikák hatása és következményei az EU kohéziójára nézve (szavazás
78	Ez az egyszerűsítés csökkenti a bürokráciát, és javítja az intermodalitást.	Ez az egyszerűsítés csökkenti a bürokráciát, és javítja az intermodalitást.
79	Megállapodás az EK és Bulgária között: részvétel a Kábítószer és a Kábítószerfüggőség Európai Megfigyelőközpontjának tevékenységében (szavazás	Megállapodás az EK és Bulgária között: részvétel a Kábítószer és a Kábítószerfüggőség Európai Megfigyelőközpontjának tevékenységében (szavazás
80	A zöld könyvhöz mellékelt kérdések alapján elvégzett konzultáció végeredménye megerősíti ezt a nézetet.	A zöld könyvhöz mellékelt kérdések alapján elvégzett konzultáció végeredménye megerősíti ezt a nézetet.
81	Másodsorban: ez a válság az Egyesült Államokban márciusban történt.	Másodsorban: ez a válság az Egyesült Államokban márciusban történt.
82	Az EU állatállomány termelése erősen függ a szójababból, kukoricából és más terményekből származó állati takarmány importjától.	Az EU állatállomány termelése erősen függ a szójababból, kukoricából és más terményekből származó állati takarmány importjától.
83	Az intézmények szerepét és hatásköreit a Szerződések rögzítik.	Az intézmények szerepét és hatásköreit a Szerződések rögzítik.
84	A Bizottság segíteni fog egy, érdekelteket és a megelőzési stratégiában résztvevő intézményeket összefogó hálózat kiépítésében.	A Bizottság segíteni fog egy, érdekelteket és a megelőzési stratégiában résztvevő intézményeket összefogó hálózat kiépítésében.
85	Az elsivatagosodás veszélye azután könnyedén megnő különösen Európa földközi-tengeri régióiban.	Az elsivatagosodás veszélye azután könnyedén megnő különösen Európa földközi-tengeri régióiban.
86	A következő év költségvetésének témája a Költségvetés az eredményekért.	A következő év költségvetésének témája a Költségvetés az eredményekért.
87	A munkavállalók védelme a munkáltató fizetésképtelensége esetén (kodifikált változat) (szavazás	A munkavállalók védelme a munkáltató fizetésképtelensége esetén (kodifikált változat) (szavazás
88	A külföldi leányvállalatok felépítésére és tevékenységére vonatkozó közösségi statisztikák (szavazás	A külföldi leányvállalatok felépítésére és tevékenységére vonatkozó közösségi statisztikák (szavazás
89	A felülvizsgálat célja a meglévő szabályok egyszerűsítése és átdolgozása a szabályozási széttagoltság csökkentése révén.	A felülvizsgálat célja a meglévő szabályok egyszerűsítése és átdolgozása a szabályozási széttagoltság csökkentése révén.
90	Ezért terjesztjük elő a szóbeli választ igénylő kérdést és az állásfoglalást.	Ezért terjesztjük elő a szóbeli választ igénylő kérdést és az állásfoglalást.
91	Így megelőzhetjük a téves értelmezéseket, és a jogszabályok átültetésének és végrehajtásának késedelmeit is.	Így megelőzhetjük a téves értelmezéseket, és a jogszabályok átültetésének és végrehajtásának késedelmeit is.
92	A szakképzett munkavállalók hiányával küzdő régiók különösképpen előnyökhöz jutnának, ha a mobilitást megkönnyítenék Európában.	A szakképzett munkavállalók hiányával küzdő régiók különösképpen előnyökhöz jutnának, ha a mobilitást megkönnyítenék Európában.
93	Többoldalú megállapodás a közös európai légtér létrehozásáról (szavazás	Többoldalú megállapodás a közös európai légtér létrehozásáról (szavazás
94	A motorkerékpárok és segédmotoros kerékpárok hátsó rendszámtáblájának elhelyezése (szavazás	A motorkerékpárok és segédmotoros kerékpárok hátsó rendszámtáblájának elhelyezése (szavazás
95	A halászati és akvakultúra-termékek piacának közös szervezése (szavazás	A halászati és akvakultúra-termékek piacának közös szervezése (szavazás
96	Ám egy sor idevágó kérdés merül fel az ügyben.	Ám egy sor idevágó kérdés merül fel az ügyben.
97	A határellenőrzések megszüntetése (közúti és belvízi közlekedés) (kodifikált változat) (szavazás	A határellenőrzések megszüntetése (közúti és belvízi közlekedés) (kodifikált változat) (szavazás
98	Végül, de nem utolsósorban kívánatos a Nyisztrán túli probléma tárgyalásos módjának gyökeres megváltoztatása.	Végül, de nem utolsósorban kívánatos a Nyisztrán túli probléma tárgyalásos módjának gyökeres megváltoztatása.
99	A parlamentközi küldöttségek száma és számszerű összetétele (szavazás	A parlamentközi küldöttségek száma és számszerű összetétele (szavazás
100	Az előző ülés jegyzőkönyvének jóváhagyása: lásd a jegyzőkönyvet	Az előző ülés jegyzőkönyvének jóváhagyása: lásd a jegyzőkönyvet
101	A júniusi állásfoglalás ellenére sem történt különös intézkedés.	A júniusi állásfoglalás ellenére sem történt különös intézkedés.
102	A megállapodások szövegeinek Tanács általi előterjesztése: lásd a jegyzőkönyvet	A megállapodások szövegeinek Tanács általi előterjesztése: lásd a jegyzőkönyvet
103	A szavazás eredményei és más részletei tekintetében lásd a jegyzőkönyvet.	A szavazás eredményei és más részletei tekintetében lásd a jegyzőkönyvet.
104	Ez különösen a koordinálatlan ágazatokra jellemző, például a lakásépítésre.	Ez különösen a koordinálatlan ágazatokra jellemző, például a lakásépítésre.
105	Megnöveljük a pénzügyi ösztönzőket és az éves visszavonásokat, a kifizetéseket és a támogatásokat.	Megnöveljük a pénzügyi ösztönzőket és az éves visszavonásokat, a kifizetéseket és a támogatásokat.
106	Az új tagállamok integrációja a közös agrárpolitikába (szavazás	Az új tagállamok integrációja a közös agrárpolitikába (szavazás
107	A kutatás is segíthet az áruszállítás hatékonyabbá, a környezettel összeegyeztethetőbbé és biztonságosabbá tételében.	A kutatás is segíthet az áruszállítás hatékonyabbá, a környezettel összeegyeztethetőbbé és biztonságosabbá tételében.
108	A liberalizáció a megfelelő irány a nemzetközi, de nem az a belföldi vasúti közlekedés számára.	A liberalizáció a megfelelő irány a nemzetközi, de nem az a belföldi vasúti közlekedés számára.
109	A szociális védelem nem összeegyeztethetetlen a gazdasági hatékonysággal.	A szociális védelem nem összeegyeztethetetlen a gazdasági hatékonysággal.
110	Természetesen a szociális előrehaladás a gazdasági növekedéstől függ.	Természetesen a szociális előrehaladás a gazdasági növekedéstől függ.
111	Általános érdekű szociális szolgáltatások az Európai Unióban (szavazás	Általános érdekű szociális szolgáltatások az Európai Unióban (szavazás
112	Megállapodva az előadóval ezért azt szeretnénk, ha a jelentést szerdáig elhalasztanánk.	Megállapodva az előadóval ezért azt szeretnénk, ha a jelentést szerdáig elhalasztanánk.
113	A dárfúri válságot az első éghajlat-változási konfliktusként írták le.	A dárfúri válságot az első éghajlat-változási konfliktusként írták le.
114	Ezért alakítottuk ki a komodalitás gondolatát, a különféle szállítási módozatok hatékony kombinációját.	Ezért alakítottuk ki a komodalitás gondolatát, a különféle szállítási módozatok hatékony kombinációját.
115	írásban. - (PT) A halászati erőforrások fenntarthatósága alapvető fontosságú a halászati tevékenység és a halászati ágazat életképességének hosszú távú biztosítása céljából.	írásban. - (PT) A halászati erőforrások fenntarthatósága alapvető fontosságú a halászati tevékenység és a halászati ágazat életképességének hosszú távú biztosítása céljából.
116	A szavazásra a ma délutáni viták végén kerül sor.	A szavazásra a ma délutáni viták végén kerül sor.
117	A mezőgazdasági termékek árválsága felélesztette az európai mezőgazdasági élelmiszertermelés kérdéséről szóló vitát.	A mezőgazdasági termékek árválsága felélesztette az európai mezőgazdasági élelmiszertermelés kérdéséről szóló vitát.
118	Ezáltal lehetővé válik az amúgy elkerülhetetlen szerződésszegések és a hozzájuk kapcsolódó követelések elkerülése.	Ezáltal lehetővé válik az amúgy elkerülhetetlen szerződésszegések és a hozzájuk kapcsolódó követelések elkerülése.
119	Elsősorban a cukorrépa-termelőket és a cukorgyári munkásokat sújtja.	Elsősorban a cukorrépa-termelőket és a cukorgyári munkásokat sújtja.
120	A különféle szállítási útvonalakon uralkodó feltételek rendkívül különbözőek.	A különféle szállítási útvonalakon uralkodó feltételek rendkívül különbözőek.
121	Végezetül egy apró, de szerencsétlen szervezési hibára hívnám fel a figyelmüket.	Végezetül egy apró, de szerencsétlen szervezési hibára hívnám fel a figyelmüket.
122	A parlamentközi küldöttségek száma és számszerű összetétele (a módosítások benyújtásának határideje): lásd a jegyzokönyvet	A parlamentközi küldöttségek száma és számszerű összetétele (a módosítások benyújtásának határideje): lásd a jegyzokönyvet
123	Az ITS képviselőcsoport is jelölt egy pályázót, a konstantinápolyi ökomenikus pátriárkát.	Az ITS képviselőcsoport is jelölt egy pályázót, a konstantinápolyi ökomenikus pátriárkát.
124	Természetesen a fogyasztóvédelmi jog esetében ez rendkívül nehéz.	Természetesen a fogyasztóvédelmi jog esetében ez rendkívül nehéz.
125	Az igazságszolgáltatás és az igazságszolgáltatáshoz való hozzáférés kapcsán van még egy másik nehézség.	Az igazságszolgáltatás és az igazságszolgáltatáshoz való hozzáférés kapcsán van még egy másik nehézség.
126	A környezetszennyezés integrált megelőzése és csökkentése (kodifikált változat) (szavazás	A környezetszennyezés integrált megelőzése és csökkentése (kodifikált változat) (szavazás
127	Ezért a fertőző betegségek ellenőrzésére irányuló nemzetközi együttműködés létfontosságú.	Ezért a fertőző betegségek ellenőrzésére irányuló nemzetközi együttműködés létfontosságú.
128	Nekünk itt az Európai Unióban hosszú listánk van csodálatra méltó célkitűzések elfogadásából, és aztán az elérésük meghiúsulásából.	Nekünk itt az Európai Unióban hosszú listánk van csodálatra méltó célkitűzések elfogadásából, és aztán az elérésük meghiúsulásából.
129	Az irányelv szövegét az egyeztető tárgyaláson állapították meg.	Az irányelv szövegét az egyeztető tárgyaláson állapították meg.
130	A vasúti utazás végül a légi közlekedés valódi alternatívájává válik Európában.	A vasúti utazás végül a légi közlekedés valódi alternatívájává válik Európában.
131	Az első alapvető kérdés a nemzetközi vasúti személyszállítási szolgáltatásokhoz kapcsolódó új szabályozás alkalmazási területe.	Az első alapvető kérdés a nemzetközi vasúti személyszállítási szolgáltatásokhoz kapcsolódó új szabályozás alkalmazási területe.
132	Az EK és Dél-Korea közötti tudományos és technológiai együttműködési megállapodás (szavazás	Az EK és Dél-Korea közötti tudományos és technológiai együttműködési megállapodás (szavazás
133	Másodszor eredményes régióközi megállapodásokat szeretnénk kötni és tartalékként - de kizárólag tartalékként - a kétoldalú megállapodások fejlesztésére törekszünk.	Másodszor eredményes régióközi megállapodásokat szeretnénk kötni és tartalékként - de kizárólag tartalékként - a kétoldalú megállapodások fejlesztésére törekszünk.
134	A többi új tagállam kvótáját is jelentősen csökkentették.	A többi új tagállam kvótáját is jelentősen csökkentették.
135	A mi szerepünk a tagállamok intézkedéseinek támogatása és kiegészítése.	A mi szerepünk a tagállamok intézkedéseinek támogatása és kiegészítése.
136	Az alkoholfogyasztás szokása nagymértékben eltér Európa különféle részein.	Az alkoholfogyasztás szokása nagymértékben eltér Európa különféle részein.
137	Rövid távú hatással rendelkező, a pénzügyi tranzakciókat leállító intézkedéseket indítottunk el - ami nagyszerű.	Rövid távú hatással rendelkező, a pénzügyi tranzakciókat leállító intézkedéseket indítottunk el - ami nagyszerű.
138	Nem elég pusztán azonosítani a problémát, miután az már nyilvánvalóvá vált.	Nem elég pusztán azonosítani a problémát, miután az már nyilvánvalóvá vált.
139	a határokon átnyúló ügyletek egyszerűsítése a fogyasztók és a vállalkozók számára;	a határokon átnyúló ügyletek egyszerűsítése a fogyasztók és a vállalkozók számára;
140	Némelyek bírálnak, mások dicsérnek; néhányan elítélnek, mások bátorítanak.	Némelyek bírálnak, mások dicsérnek; néhányan elítélnek, mások bátorítanak.
141	Egészen őszintén, csodálkoznék, ha bárki is ellenezné ezt.	Egészen őszintén, csodálkoznék, ha bárki is ellenezné ezt.
142	Más szóval, Elnök úr, a Bizottság továbbra is bíró, esküdtszék és végrehajtó.	Más szóval, Elnök úr, a Bizottság továbbra is bíró, esküdtszék és végrehajtó.
143	Írországban a cukorrépát kölcsönösen kedvező rotációban termesztették a búzával.	Írországban a cukorrépát kölcsönösen kedvező rotációban termesztették a búzával.
144	A szív- és érrendszeri betegségek leküzdésére irányuló intézkedések (szavazás	A szív- és érrendszeri betegségek leküzdésére irányuló intézkedések (szavazás
145	A határokon átnyúló egészségügyi ellátás nyújtására irányuló közösségi fellépés (szavazás	A határokon átnyúló egészségügyi ellátás nyújtására irányuló közösségi fellépés (szavazás
146	A fejlődő országokbeli megújulóenergia-technológiákba való befektetések támogatásával két kulcsfontosságú célt érhetünk el.	A fejlődő országokbeli megújulóenergia-technológiákba való befektetések támogatásával két kulcsfontosságú célt érhetünk el.
147	Az Európai Unió és a Közép-Amerika közötti társulási megállapodás tárgyalása (szavazás	Az Európai Unió és a Közép-Amerika közötti társulási megállapodás tárgyalása (szavazás
148	Múlt héten számos szlovén tartományt súlyosan érintett egy természeti katasztrófa - a legszörnyűbb árvíz emberemlékezet óta.	Múlt héten számos szlovén tartományt súlyosan érintett egy természeti katasztrófa - a legszörnyűbb árvíz emberemlékezet óta.
149	Végrehajtottuk a decentralizált ügynökségek költségvetéseinek részletes elemzését is.	Végrehajtottuk a decentralizált ügynökségek költségvetéseinek részletes elemzését is.
150	Ez valódi probléma, és mi itt Európa jövőjéről beszélünk.	Ez valódi probléma, és mi itt Európa jövőjéről beszélünk.
151	Egy másik példa az Egyesült Államok legújabb, a külföldi hírszerzés felügyeletéről szóló törvénye.	Egy másik példa az Egyesült Államok legújabb, a külföldi hírszerzés felügyeletéről szóló törvénye.
152	Ez nekünk a Bizottságban, de a Tanácsban is több erőt fog biztosítani.	Ez nekünk a Bizottságban, de a Tanácsban is több erőt fog biztosítani.
153	A terrortámadások a jogállamiságtól egy primitív állam felé való elmozdulást képviselnek.	A terrortámadások a jogállamiságtól egy primitív állam felé való elmozdulást képviselnek.
154	A bűnügyi nyilvántartásokból származó információk cseréje a tagállamok között (szavazás	A bűnügyi nyilvántartásokból származó információk cseréje a tagállamok között (szavazás
155	Halászati partnerségi megállapodás az EK és a Zöld-foki-szigetek között (szavazás	Halászati partnerségi megállapodás az EK és a Zöld-foki-szigetek között (szavazás
156	Az elsivatagosodás nem újkeletű probléma; évtizedek óta ismerjük.	Az elsivatagosodás nem újkeletű probléma; évtizedek óta ismerjük.
157	Egy másik probléma az Európai Technológiai Intézet, az ETI.	Egy másik probléma az Európai Technológiai Intézet, az ETI.
158	Az állásfoglalás-tervezet dicsérően szól az EURES-ről, az Európai Foglalkoztatási Szolgálatról.	Az állásfoglalás-tervezet dicsérően szól az EURES-ről, az Európai Foglalkoztatási Szolgálatról.
159	Ez azóta képezi részét a Bizottság jogalkotási programjának.	Ez azóta képezi részét a Bizottság jogalkotási programjának.
160	Ez elősegítette sok kulcsfontosságú probléma megértését és számos aggályt tisztázott.	Ez elősegítette sok kulcsfontosságú probléma megértését és számos aggályt tisztázott.
161	A környezeti ügyekben az információhoz való hozzáférés, a nyilvánosságnak a döntéshozatalban történő részvétele és az igazságszolgáltatáshoz való jog biztosítása (szavazás	A környezeti ügyekben az információhoz való hozzáférés, a nyilvánosságnak a döntéshozatalban történő részvétele és az igazságszolgáltatáshoz való jog biztosítása (szavazás
162	Végezetül, szeretném megemlíteni az európai szabványok nemzetközi fontosságát.	Végezetül, szeretném megemlíteni az európai szabványok nemzetközi fontosságát.
163	A szolidaritás, a versenyfeltételek és az esélyek egyenlősége mára üres szavakká váltak.	A szolidaritás, a versenyfeltételek és az esélyek egyenlősége mára üres szavakká váltak.
164	Az elmúlt néhány héten a különféle érintettek és a sajtó különösen górcső alá vették a Közösségben a tejárak alakulását a nyáron.	Az elmúlt néhány héten a különféle érintettek és a sajtó különösen górcső alá vették a Közösségben a tejárak alakulását a nyáron.
