id	en	bn
14	We'll painstakingly compare the results against our archives in hopes of finding something that can be used to solve this case	যইফলফলপইস টকআর্কইভর সব ফইলরসথ মলয়দ খব যতএই কসটসমধনহয়যয়
15	The state must ensure that this man is rendered harmless so that he ceases to be a danger to society	প্রশসনন শ্চয়তদবয তকনর হহসবছ ড়দওয়হব , এবস সম জরজন্য বপদজনকনয়
16	There in that frozen wilderness a dream came true, and a lone voice shrieked into the solemn sky	বরফরবুনস্বভবরস্বপ্ন এবর সত্যহতলগল এবগম্ভরআকশ রদক একটন সঙ্গকন্ঠচঁচয় উঠল
17	When you're ready to kick the bucket, they get you out of the way so they can use the bed	যখন তমরবঁচরআশথকব ন, তরতম কএখনথক নয়যব যততর এইবডটব্যবহরকরত পর
18	You ought to see what they've got on the other side	ওরঅন্যদক থকক ধরণর যন নয়আসছ ততম রঅনুধবনকর উচ ত
19	I'll go myself to the dwarfs' cottage in a disguise so complete no one will ever suspect	আমন জইযবব মনদর কুটর পূর্ণ ছদ্মবশ যতকউ সন্দহইনকরতপ র
20	Fathers, for whom every revolution of a mechanical wheel meant gold, had bestowed upon their sons the wonder of the Eternal Gardens	"শহররজনক,যর কছপ্রতটয ন্ত্রকক ঠমর পরবর্তনছ লস্বর্ণরমতমূল্যব ন, তনতর শহর রবসন্দদরকদনকরছলন ছবরমতসুন্দর""ইটর্নলগর্ডন"
21	With cheerful optimism our little Columbus descended, then stopped, stepped, slipped and slid	আনন্দরশুভকমননয় আমদরজন বকলম্বসনমতশুরুকরল তরপরথ মল,পব ড়ল , পছলঘষ নমএল
22	There were two more copies of those damnable plans, Herr Fredersen in the pockets of two men who met with an accident today at the M-Machine	প্রভু ফ্রডরসন,সইএকইচক্রন্তর আরদুটপ্রতলপপওয়গছ ম -মশনআজদুজনশ্রমকএকদুর্ঘটনর শকরহয় ছ,ওদরপকটপওয় গছ
23	Number two's a wider movement. A smile goes with this one, like this	দুই নম্বরএবর সময়ট একটুব শনবস ইসথএকটুহস দব, ঠকএভ ব
24	In the year of 1703, a mystic by the name of Caligari toured the fairs of numerous villages in northern Italy, accompanied by a somnambulist named Cesare	১৭০৩ খ্রস্টব্দ,ক্য লয়রনমরএকজন রহস্যময়ব্যক্ত উত্তর ইতলরনম রউসগ্রম রমলয়ভ্রমণকর, সস জরনমর একজনস্বপ্নচররসথযুক্তছল
25	Do you realise, for example, regarding the route the child took home, that there are fifteen conflicting eyewitness accounts alone	উদহরনস্বরূপ বচ্চকন রস্তদয়বসয়ফ রছল, শুধু এটন য়ই15ট ভন্নভ ন্নপ্রত্যক্ষদর্শরয়ছ
26	Only now they're sending babies, and they won't last a week	কন্তুন ,এখনতরশ শুদর পঠচ্ছ,য রএকসপ্তহও বঁচথ কত পরবন
27	Think of it - the brain of a dead man waiting to live again in a body I made with my own hands	ভবদখ ,একজন মৃতম নুষ রমস্তষ্ক। পুনরয়শররবঁচওঠরজন্য অপক্ষমণ আর তকআম নজর হতবনচ্ছ
28	I ain't aiming for you to get freckled after the buttermilk I done put on you, bleaching them freckles	আমমট ও চইন আপনরগ য়মছতহক যগুলউঠ তআমএত কছু লগ য়ছ
29	I know nothing of God's love or hatred for the English but I know the English will all soon be driven out of France except those who die here	ইরজদরপ্রতঈশ্বর রভলবসকব ঘৃণরব্যপরআমকছু জনন শুধু জনইর জরশঘ্রই ফ্রন্সথ কবতড় তহব থকযব শুধু লশগুল
30	The Dardanelles were closed to all ships suspected of carrying the plague	মনুষরঘড়একইঅদ্ভুতদ গবদ্যম ন, যরউৎসসম্পর্কডক্ত ররঅনশ্চতএববষ্মত। বন্দরগুলবন্ধকর দওয় হয়ছএই সন্দহ যস ইজহ জগুলইসম্ভবতমহমররগটবয়এনছ
31	Whatever comes, I'll love you just as I do now, until I die	য -ইআসুক,আম তমক ভলবসব ঠকয মনটএখন বস, মররআগ পর্যন্ত
32	They must not see that- Here, quick, give me a hand	অনকদ রহয় গছ,এখনআরসম্ভবন । তদরকন মতইএগুলদ খতদওয়যবন,দ্রুতহতল গও
33	We've tried to trace the origin of this wrapper in every candy shop and grocery store within a radius of a mile and a half, but all to no avail	আমরস ইমড়করসূত্র ধরসইস্থনথ ক দড়ম ইলরমধ্যপ্রতট দকনজজ্ঞ সবদকরছ , কন্তক নলভ হয়ন
34	But now I'm going to turn that ray on that body, and endow it with life	কন্তুএখন, আর এখন আমএইরশ্মদয়ম নবদহর উপরপরক্ষকরতযচ্ছ। এবপ্রণরসঞ্চ রঘটতচলছ
35	And in conclusion, ladies and gentlemen, here we have one of the most perfect specimens of the human brain ever to come to my attention at the university	এবসবশষ,লডসএন্ডজন্টলম্য ন এখনআম দরকছআছ মনুষ রমস্তষ্করসবচ'নখুঁতনমুন । যটবশ্ববদ্যলয়সবসময় ইআমরতদরক তছল
36	Like your sister, you'll tell your mother that I was jumping again	এখন তত মরবনর মতইম - কবল বসব আমআবরলফদ চ্ছ লম
37	The truth is, I'm so much older than she is and now I haven't a cent to my name	সত্যকথটহল,আমওরচ য়বয়সএত বড় আর এখন আমরন মরপশএকটপয়স ওনই
38	It is hereby decreed that the honourable magistrate of this town forbids the populace to transport the ill or plague-stricken to the hospital, lest the plague spread through the streets	নগরকদরঅবগতরজন্যজ ননযচ্ছযউচ্চতমমজস্ট্রট রনর্দশ সন্দহজনকমহমরতআক্রন্তরগকহসপতল নয়যওয়ন ষধকরহল, নহলএর সক্রমণসবজয়গয়ছড়য়পড়ব
39	I know, but, my dear man, why should they do that when they're halfway through St. Quentin already	আমজ ন,কন্তু,আমরপ্রয়বন্ধু,কনত রতকরতয ব যখন তরইত মধ্যইঅর্ধ কসন্টকুয়ন্টন প্রবশকরছ
40	I fear I'm in great danger of dying and if I do, I ask to be buried in holy ground	আশঙ্ককরছ আমমৃত্যুরবড় ঝুঁকতআছ আর যদআমমরয ই, আমকযন পবত্রমটতকবরদওয়হয়
41	Wherefore no other salvation is possible, but that a maiden wholly without sin maketh the Vampyre forget the first crow of the cock	যদশ কররঅভবহয়, এমনও হতপ রএকজনসত্য করনষ্পপমহলরঘড় কমড়বসতওসইরক্তচষ রদ্বধহবন
42	From Belial's seed sprang the vampyre NOSFERATU, who doth live and feed on the bloode of humankind	বলয়লরবজথক জন্মনয়ভ্যম্পয় রনসফরতু, যম নুষররক্তপনকর জবন ধরণ কর
43	Well, er--- Pretty sort of place for my son to be in, I must say	আমরছ লরথকর জন্যএটবড্ড গঞ্জজয়গ , এই নয়তর সথকথবলব
44	And in that cabin his secret was revealed, his love for Georgia	আর সইক বন তঁরগ পনতথ্যফঁস হযগল , জর্জয়রজন্যতঁর ভলবস
45	Seconds later there were three men dead on the ground, but he wasn't one of them	কয়কস কন্ডপরস খন 3টলশপড় ছ , কন্তস তদ রমধ্য ছলন
46	Big Jim tried to convince the assayers that he had a mountain of gold	বগজ মধতুবশজ্ঞদরবুঝতবুঝত ক্লন্ত হয়গছ য,স একটসনরপ হড়পয়ছ ল
47	Hence, the biblical promise, that the last shall be the first, seems already to have been fulfilled on earth, for the lucky one is	"অতপর,ব ইবলরসইঅঙ্গকরনম- ""যপ ছয়আছ,স -ইসর্বত্তমহব!"" ইতমধ্য,পৃথবতইসটপ্রত য়মনহয়ছ বলমনহচ্ছ"
48	You'll be thankful if they slip a waterproof sheet around that Aunt Sally of a carcass of yours	তমরমন মনখুশহওয়উচতয এরযদ বছনর চদরনষ্টকরত , তহলহয়তবড়রকর্ত্রত মকদয়ইপর স্করকর য়নত
49	And for a widow to appear in public at a social gathering every time I think of it, I feel faint	আর একটব ধবময়অনুষ্ঠ নযচ্ছমনুষ রসথ, ভবতইআম রগয়ক ঁটদয় ওঠ
50	If you could only know how different this is from the women that we soldiers meet	তুমযদশুধুবুঝত পরতকমনসুখরঅনুভূত হয়, যখন আমরস নকরকনময়র কছথক ভলবসপ ই
51	a young, deeply religious woman attacked by a horde of blinded theologians and experienced lawyers	এক অল্পবয়স্ক ও ধর্মভরুম য়র অন্ধ ধর্মগুরু এবঅভজ্ঞউকল র দল কর্তৃক আক্রমণরশ করহওয়
52	C. A. Rotwang requests Herr Joh Fredersen to be his guest this evening	স. এ . রটওয়তরপ্রভুজ হফ্রড রসনক আজ সন্ধ্যরঅতথহওয়র জন্যঅনুরধজ নচ্ছ
53	We wouldn't have known till morning if I hadn't took that magnesia	আমরজ নতমইনযদ রত জগন থকতম . তড়ত ড়উঠ
54	My grandmother wouldn't let him drink it- Bless her heart	করনআমরদদত কএটপ নকরত দনন । ঈশ্বর তরআত্মকশন্ত দক
55	But because you have rashly sinned, we condemn you to perpetual imprisonment with the bread of sorrow and the water of affliction	কন্তুতুমবপর য়ভবপপকরয়, আমরত মক দুখররুটএবপর তপর পনসহত যবজ্জবনকর দণ্ডদণ্ডত করছ
56	If we threw away these rifles and these uniforms you could be my brother, just like Kat and Albert	আমরযদএইর ইফ লআরপশক ছুঁড়ফলদই তহলতুমআমরভ ইহতপ রত, কটএবআলবর্ট রমত
57	Don't you see it's the devil who has confused you tricked you and betrayed you	বুঝতক পরছন শয়তনইয তম কবভ্রন্তকরছ তমকঠকয় ছ আর বশ্বসঘতকতকরছ
58	Henry, hurry, get that blood off your face before your father and Elizabeth get here	হনর,তুমদ্রুতউপরগয় তমররক্তমখ মুখধুয়নও। তমরবব এবএল জবথ আসরআগইকর ফল। আচ্ছ,য চ্ছ
59	A man of science, who sought to create a man after his own image, without reckoning upon God	একজন বজ্ঞন, যননজ রপ্রত কৃতরঅনুসরআরকট মনুষরক্লনতরকরতচয়ছ লন। ঈশ্বররন জস্বমহ মকঅগ্রহ্যকরই
60	If this storm develops as I hope, you will have plenty to be afraid of before the night's over	আময ভবআশকরছসভব যদএই ঝড়বৃদ্ধপত থক , তহলরত পহব রআগতমরভয়পব রপ্রচুরকরণরয়ছ
61	When I think of myself with anything I could possibly hope for not a care in the world, and you here in this horrid jail	যখনই আমন জকভবলম যসবআছআমর, দুনয়রকন দয়ত্বনই, তখনই তুমএইবশ্রজল
62	All of these degenerate characteristics check amazingly with the history of the dead man before us, whose life was one of brutality, of violence and murder	এইগুলসবএকজনঅবক্ষতমনুষর বশষ্ট্য । আমদরআগ মরয ওয়ম নুষদরক সগুলরসথম লয়দখুন, যদরজবনছলনৃশসতপূর্ন, সহসতএবহত্যদ্বরভরপুর
63	From today on I wish to be kept precisely informed of my son's every move	আমচ ইআজ থক তুমআমরছলর প্রতটকর্যকলপরদকনজরর খবএব নর্ভুলতথ্যদয় আমকঅবগতকরব
64	Cut off from the outside world, the Ushkul tribe can satisfy only the most basic needs of its members	বহর্বশ্বথক বচ্ছ ন্নহয় উশগুলসম্প্রদয় শুধু সদস্যদরম লকচহদ গুল পূরণ করতসক্ষমহয় ছ
65	Head and hands want to join together, but they don't have the heart to do it	দুই শ্রণএক অপর রসথসযুক্তহতচচ্ছ, কন্তুত কর রমতহৃদয়ত দরকছ নই
66	When I see them, and I see the Yankees coming and coming always more and more	যখন আমওদরদখ, আমদখইয়ঙ্ক রআসছ তআসছই আরও বশবশ কর
67	And after all, is a little experience such a bad thing for a boy	এবসর্বপর, একজন ছলরজন্যএমন কছু খরপব ষয় কস মন্যঅভজ্ঞতহয়ন
68	I see that we have come here with a slight misunderstanding, and we'll correct that, too, won't we, huh	দখতপচ্ছযআমদর এখ নআসরপর সমন্য ভুলব ঝবুঝহয়ছ, আর আমরস টঠকও করনব ,ঠক আছ
69	On that evening when you fell ill once the best of friends	যইসন্ধ্যয়তুম অসুস্থহয়পড়ছ ল সদনঐম য় টকপওয়রলভ , প্রণপ্রয়বন্ধুরওএখনএকঅপর রশত্রু অন্য বন্ধু সইএকইসন্ধ্যয় তরবন্ধুকখুন করত উদ্যতহয়ছল
70	Take care in saying it, lest life's images fade into shadows, and ghostly dreams rise from your heart and nourish themselves on your blood	কথগুলবল রআগএকবরভ বনন, অন্যথয়জ বনরচত্রগুলছয়য়ম্ল নহয়যব , ভয়করস্বপ্নজগ উঠবআপনরমন থক এবস গুলবয়চলবআপনরপ্রতটরক্তকনয়
71	From Rags to Riches, and he graciously consented	ফকরথ কআমর , আর স( চর্ল)খুশ মনসম্মতদ য়দল
72	For I concealed from him that his son wants to be the Mediator of your brothers - and is in love with you	আমত রকছ থকএটগপনকরছযত রছল তমরশ্রমকভইদর রক্ষকর্তহতচয়― আর সত মকভলবস
73	Sometime I'm gonna take one of you volunteers apart and find out what makes you leave school and join the Army	মঝমঝ ইচ্ছ হয়তমদ রপ্রত্যকসচ্ছসনকএইফ্রন্টনয়আস, যতকর বুঝতপর,স্কুলছড়স নবহনত যগদয় কভুলকরছ
74	We try not to be killed, sometimes we are	আমরচ ষ্টকরহত্যন করত,ক ন্তুকখনও কখনওআম দরকত করতও হয়
75	"Ah! said Big Jim, ""it won't be long now"	"আহ ! বলল বগজ ম ""এবরআরবশ সময়ল গবন"
76	So, what price are you demanding for leaving this residence tonight	আজ রততম কএইবড়ছ ড়ত হব, এর বনময়তুম কতটক চও
77	Joh Fredersen wants to let those in the Depths use force and do wrong so that he can claim the right to use force against them	জহফ্রডরসনচচ্ছয শ্রমকরযত বলপ্রয়গকরএবঅপরধকর বস, যতসত দর বরুদ্ধব্যবস্থ গ্রহণ কররসুযগলভকরতপর
78	Well, you ought to know- It came from your own laboratory	বশ! এটআপন রজনউচ ত, আপনরন জস্বপর ক্ষগরথকইএন ছ
79	Third day - 14 July ship's mate is babbling claims strange passenger is below deck	নর্থ-ইস্ট ৩য় দন: ১৪জুলই জহজরসহক রউল্টপল্টকথবলছন যন চরডকন কএকজনঅপরচ তব্যক্তরয়ছ
80	Charles and Wade asked me to eat with them, but I told them I promised you	চর্লসআরওয় ইডআমক বলছওদ রসথখত , কন্তুআমবলছ আমতমক কথদ য়ছ
81	THE MEDIATOR BETWEEN HEAD AND HANDS MUST BE THE HEART	মথএব হতর মধ্যস যগস্থ পন কররএকমত্রমধ্যমহলহৃদয়! (একজন হৃদয়বনব্যক্তইধনক শ্রণ এব শ্রমজবশ্রণরমধ্যস যগস্থ পনকরত পর
82	I'm the only man over 16 and under 60 who's around to show you a good time	১৬ বছররউপরআর৬০বছররন চআমইএকমত্র লক যক নতমক আনন্দর খতপর
83	Soon after its premiere, the film Metropolis was severely truncated and alterations were made	মট্রপলস'মুভ টমুক্ত পওয়রপর ,এরঅনক দৃশ্য ছঁটইকর হয়এবএত ননপরবর্তনআনহয়
84	How is it, Josaphat, that these plans were brought to me by Grot, rather than by you	ব্যপরক, জসফ্যট? এইচক্রন্তর খবরতমরকছ থকনজ নআমগ্রট রকছ থকজনলম কন
85	We can no longer tolerate the fact that we're not safe now in any hotel, bar, cafe or even private home from the clutches of the police	আমরআরএট সহ্যকরতপ রবনয আমরক নহট ল,রস্ত রঁ,ক্যফ এমনকন জরঘরও পুলশ রহনথকনর পদনই
86	What had been preserved was, however, a heavily damaged copy of the film that had been printed to 16mm film stock, lacking the full frame of the picture's original aspect ratio	যদওএইকপ টরএকটব রটঅশইক্ষতগ্রস্ত ছল, করণএক১৬ম .ম . রজ্যুলশনপ্রন্টকরহয়ছল
87	Tonight you shall see how she holds up before the eyes ofthe upper hundred	দখনও ,আজর তত রনচদ খ শত শত দর্শক নজরচখ সরত পরবন
88	The reason for this measure is your old-age	তমরঅন কবয়স হয়ছ , সটবব চনকরই তমকএইক জদ য়হয় ছ
89	Those titles which appear in a different typeface (like the one used here) have been added to summarise the content of still-missing scenes as far as is necessary to facilitate an adequate understanding of the storyline	মুভরএইপ্রন্টটতবশকছু সখ্যকদৃশ্যঅনুপস্থতরয়ছ, যহতুমুভরকহনসূত্রসম্পর্ক একটপর্যপ্তধরণ থকজরুর, তইমুভরবশক ছুজ য়গয়ভ ন্নচহর র ইন্টরটইটলব্যবহরকরহয়ছ (যমনটএক্ষ ত্র
90	Oh, Mammy, I'm so thin and pale and I haven't any clothes	ওহ ম্যম,আম এতশুকয় গছ,এতমলনহয়গছ , কনক পড়ওতন ইআমর
91	We're going to attack a town that we tried to take once before	আমরএকটশহর আক্রমণকরতয চ্ছয টআমরআগ ওএকব রদখল নওয়র চষ্টকরছ
92	Is the honor of wearing a uniform something from which we should run	সইপ শকপড়আমদরজন্যকসম্মনজনক নয় , এমন কছুয পড়লআমদর সম্মনবহুগুণবড় যব
93	I know that in one of the schools the boys have risen up in the classroom and enlisted in a mass	আমজ নয,একদনস্কুলরছ লর ক্লসরুমজন্মভূমরজন্য মমতজ গউঠব এবদলবঁধনজদর নমসনবহন ততল কভুক্তকরব
94	So Hutter placed the anguished girl in the care of his friends, the rich shipowner Harding and his sister	এইভবহট রতরউদ্বগ্নস্ত্র দখশনরভরদয় আসল তরবন্ধু, ধনজ হজমলক হর্ডএবতরবনরকছ
95	Next trip I'll bring you some green silk for a frock to match it	পররট্রপতমরজন্যএকট সবুজ সল্ক রকপড় নয়আসব এটস থমলয় ফ্রকবন নরজন্য
96	When you spoke to your poor brothers, you talked about peace, Maria today a mouthpiece of Joh Fredersen incites them to rebel against him	তুমত মরঅসহ য়ভইদর সথ শন্তপ্রতষ্ঠরবষয়কথ বলছল, মরয় আজ জহফ্রডরসনরএকমুখপ ত্রশ্রমকদরক তরব রুদ্ধবদ্রহগড়তুলত উসক দচ্ছ
97	In the corner of the building there's a little room right next to the morgue	এই বল্ডএরশ ষছ ট্টএকটঘরআছ , একবরমর্গরসথ,ওট কইমড়র ঘরবল
98	I suppose it was strategy sending gorillas to drag me from that justice of the peace	আমরমনহয়, এটও তমরক শলকছু লকপঠ য়আমক এখন ধরনয়আস
99	and where are the people, Father, whose hands built your city	কন্তুব ব,তরক আছ, যরমথ রঘমপয় ফলএইশহরন র্মণ কর ছ
100	Outside the fact you don't like him, you haven't got a thing against King	এই বষয়ছ ড়ওতুম তকপছন্দকর ন. তুমক -এরকনদ ষদখ তপরবন
101	All the money I had was that ten-spot so I've been thinking you better wire your father	টকযছ লদ য়দয় ছ যটভবছলম,তমরববক একটটল গ্রমপঠ ও
102	Hank was a mining engineer who lived alone and occasionally went on long expeditions into the Far North	হঙ্কএকজনখন ইঞ্জনয়র একথ ক আর মঝমধ্য লম্বঅভযনরজন্য সদূর উত্তরয য়
103	Inspector, here are reports on mental patients who've been released as cured or deemed harmless over the last five years	স্যর,য সবমন্টলরগদরচ কৎসকর ছড়হয় ছতদরর পর্ট, অথবগত5বছর নরহ গণ্যকরহয়ছ
104	Here, at the place of his humiliation, the old man would waste away miserably for the rest of his life and here the story would, strictly speaking, be over	এইখন,যখ নতকচরমভব অপমনকরহয়ছ , বুড়ল কটবকজ বনরজন্যশচনয়ভব সর্বস্বন্তহয়যতপ রত, আর, গল্পটএখনইশষহত পরত
105	Ma would wear me out with a cornstalk if I was to go into Mrs. Watling's	আম্মজুতয়আমরচ মড়তুলদবযদজ নত পরআম মসস ওয়টল - এরওখনগছ
106	The sun rises and sets over the dead child	সূর্য ওঠ আর অস্ত যয় মৃত সন্তনরমথ রউপর
107	Your sister was cleaning a revolver and it went off and scared her	তমদরবনপ স্তলসফকরছল । তখন একটু গুলব রহয় ছআরওভয়পয় গ ছ
108	After that rainy dressing station and 24 hours on the train, we deserve to have some luck	ড্রসস্ট শনথকছড় দওয়র পরথক ২৪ ঘন্টয়ট্রনরউপরছ লম, এক দয়আম দরভগ্য ভলইতবলচল
109	Now then, what have you boys got to do with the murderer and where was the guy taken	এখন বল, খুনরস থতমদ রসম্পর্কক, আর সএখনকথ য়
110	You're sweet on Ashley, and his engagement's being announced tonight	অ্যশলরসথ তমরকতমষ্টম ষ্টব্যবহর , আর আজকর তওরব গদ নরঘষণআসব
111	Say that we've talked things over and come to an understanding and that if she returns, I won't interfere with your marriage	বলবয ,আমরবষয়ট নয়কথবল ছএবএকটসমঝতয়পঁছ ছ যদস ফর আস,ত হলআম তরবয়র ব্য পরক নহস্তক্ষপকরবন
112	If we can't get funds to support the wives of those members who currently enjoy room and board at state expense	যদআমরআমদ রসগঠনর সদস্যদর সম্বল দতনপ র, যরআমদ রজন্যকজকর
113	He is mistaken, because the very nature of compulsion warrants an acquittal	কন্তএটভুল , বধ্যবধকতরব্য পর সধরণতদষ কবকসুর খলসদওয় হয়
114	"Big Jim to his mine, our hero to his fate. ""Goodbye,"" said the Little Fellow"	বগজ মচল গলত ঁরখনত, আমদরহর চলগল তঁর ভগ্যরদক
115	Are your mothers so weak that they cannot send a son to defend the land which gave them birth	তমদরময়র কএতটইদূর্বলয,যইদ শতদরজন্মহয় ছ, সইদ শকরক্ষকররজন্যনজর সন্ত নদরযুদ্ধপঠতপরছন
116	You're the yellowest baboon that ever drew a cook wagon and you're scared it shows	ধড়বনরকথকর ! তুমকখনই ফ্রন্টরকছক ছখবরপঁছদ ওন, জনরভয় ফ্রন্টথকদূরথক
117	But the author is looking out for him who has been abandoned by everyone, and so he bestows upon him an epilogue, telling a story that — unfortunately — usually doesn't occur in real life	কন্তুমূলগল্পকরতরদক ঠকই নজরর খছলন - যসবরঅবজ্ঞরপত্রহয়ছল, আর তই,ত কনয় রচতগল্পরশষট , তনএমনভবরচনকরলন- য,একদমইকল্পনতত
118	I was so mad, I ran out the back and jumped into the first car I saw	আমপ গলহয় গয়ছ লম,তখনপছনদ কদড় চ্ছল ম আর একটগ ড়দখল ফদয়ছ লময টপ্রথমচখপড়ছল
119	And if our young ladies glory in those who wear it, is that anything to be ashamed of	আর যদআমদরযুবত মহলরঐসবপশকপরহ তব্যক্তদর দখগর্ব তহয়, সটকলজ্জ রকছুহব
120	Long have I pondered why Nosferatu was said to have travelled with earth-filled coffins	আমএকটবষয় নয়অন কভবছ য কনন সফরতুতরকফ নরভ তরমটঢুকয়ছল
121	It's quite difficult to say how, despite his depleted strength, young Hutter succeeded in surmounting the obstacles on his voyage home - - meanwhile, Nosferatu's deadly breath swelled the sails of the ship, which flew on toward its destination with ghostly haste	এটবলবশশক্তয , কভবএইদূর্বলদহনয়, যুবক হটরতর স্বদশযত্রর ননবধঅতক্রমকরছল, এদকনসফরতুরভয়করনস্বসজহজ এগয়যচ্ছল, যতকর এটত রগন্তব্যঅতপ্রকৃত গততপছযতপর
122	I'll go back to the peat fields and those pleasant hours in the beer gardens	আমস ইঘস ঢকমঠ ফরযব এবব য়রগর্ডনআগরমতআনন্দময় সময় কটব
123	From that time onward, more than a quarter of the film was assumed to have been lost	ধরণকর হয়, তখন থকই মুভটর এক-চতুর্থশরওবশঅ শকলর গর্ভহরয়গছ
124	it's a blueprint of the two-thousand-year-old catacombs deep below the lowest levels of your Metropolis	এটহলদুই হজর বছর পুরনভূগর্ভস্থসমধ ক্ষত্ররনকশ যম ট্রপলসরখুবগভ র, একবরনচর স্তরঅবস্থত
125	How lovely you look- But you shouldn't be here	উফ, তমকদখত কসুন্দরল গছ। তবত মরএখন এখন থকউচত ন
126	Still hoping to get money for the girl, he wandered the city	এখনম য়টরজন্য সট কপবর আশকরছ , সউদ্দশ্যহনভবশহরঘুর বরচ্ছ
127	Now I shall discover if it is true that a somnambulist can be compelled to perform acts that in a waking state he would never commit and would be repugnant to him	এখন আমসত্যটআবষ্করকরবযএকজনস্বপ্নচরকচল তকরতপরকন। তকদয় এমনক ছুকরবযটস কখনকরতন। যটতর জন্যবমনন হব
128	I'm not interested in your money or your problem	তমরটক রপ্রত আমরকন লভনই আরত মরসমস্য নয় ওকনমথ ব্যথনই
129	No. 11811, get back to the Machine and forget that you ever left it - understood	১১৮১১ নশ্রমক,মশন ফরযওএব ভুলয ওযতুমএটফলগয় ছল - বুঝল
130	You see when you jumped in here you were my enemy, and I was afraid of you	যখন এখনআম রউপর ঝপয় পড়লতখন তুমআমরশত্রুছল , আর তমকদখআমভয়পয় গছল ম
131	He took her out buggy-riding in the late afternoon without a chaperon and then he refused to marry her	সন্ধ্যরদ কনকস থবড়আরকউকন নয় ময়টকনয়ঘুরতগয়ছ ল আর তরপরবলছলওকবল বয়করবন
132	But Ma said there was a job waiting for her in New York and if we didn't go, she might lose it	কন্তুম বল ছলনউইয়র্কতরচকররকথ ছল আমরযদযতন পরতহলসচ করটহ রব
133	You mean, you've cooked beans for 150, and you've got bread for 150, and sausage for 150, and tobacco for 150	মন,তুম১৫০জনরজন্যমটরশুটরন্নকরছ,তর মনতমরক ছ১৫০জনরজন্যরুট ওআছ, এব১৫০জন রজন্যসসজ, আর১৫০ জন রজন্যতমক
134	And stay they did, for days and nights	আর তঁররয় গল, ৪ দন৪ র ত কবনকতর এবগঙ্গনচলল
135	For wherever the sun rises and sets in the city's turmoil or under the open sky on the farm life is much the same	সূর্যটশহররগন্ডগলরভতরযখন ইউঠুক বঅস্তযক সবসময়ই ওই খমরটখলআকশরনচ । জবনঅনকটঅভন্ন
136	There in the gloaming they sat, their faces alight with mischief, but all the while his heart was singing	তরবসল, তদরমুখতমশ রআলতউজ্জ্বলহয় আছ, কন্তুওদকসবসময়তঁর(চ র্ল) হৃদয় গনগ চ্ছল
