id	en	fa
32	"We must have a cab. ""No, my brougham is waiting."" ""Then that will simplify matters"	"ما باید کابین را داشت. ""نه ، من کالسکه منتظر است."" ""سپس که مهم نیست. ساده"" ما نازل شده و آغاز کردن یک بار دیگر برای"
33	The Russians bombarded Grozny constantly for weeks, killing mainly the civilians who were still trapped inside	روسها گروزنی را چند هفته متوالی بمباران کردند، عمدتا شهروندانی را کشتند که هنوز در شهر به دام افتاده بودند
34	before boarding his spacecraft he records a message for the people of the world	،یوری گاگارین پیش از آنکه وارد فضاپیمای خود شود پیامی را برای مردم جهان ضبط می کند
35	"I have hopes. ""Then, come. I am all impatience to be gone"	"من امیدوار است. ""سپس ، آمده است. من تمام بی صبری به رفته است"
36	For the first time in years, Shi'ites were allowed to make the pilgrimage to Karbala to observe Ashura, and I was amazed by the sheer number of people and how fervently they practiced their religion	برای نخستین بار در طی سالها، شیعیان اجازه سفر زیارتی به کربلا برای حضور در عاشورا را یافتند، و من از حضور انبوه مردم و اشتیاق آنها در بجای آوردن اعمال مذهبی‌شان شگفت‌زده بودم
37	Recently, a mental health care app has been developed by a team of psychiatrists for the general public. So if we used all of these methods and apply them to prison, they can help make really crucial diagnoses, and they can improve our decision making, our data, and our outcomes	"اخیرا، یک اپلیکیشن سلامت روانی توسط تیمی از روانپزشکان برای استفاده عموم طراحی شده است. بدین ترتیب اگر تمامی این روشها را استفاده و آنها را در زندانها به مرحله اجرا بگذاریم می توانند در تشخیص های واقعا"" حیاتی کمک کنند و تصمیم گیریهای ما، داده های ما، و نتایج ما را بهبود ببخشند"
38	A hundred and nine voted it a 10, the highest	۱۰۹ نفر به آن از ۱۰ نمره به آن نمره ی کامل دادند
39	I don't know why we are here. But I'm pretty sure it's not in order to enjoy ourselves	من نمی‌دانم که ما چرا اینجا هستیم. ولی تقریبا مطمئن‌ام که برای این اینجا نیستیم که لذت ببریم
40	Laughter) KB: If I go this way, is there another cup	خنده حضار) کیت: حالا اگه به این طرف برم باز هم لیوان هست؟ استیو: بله به اون سمت لیوان هست. کیت: خب به من بگو کی توقف کنم.. استیو: خب کیت: اینجا؟ استیو: آره یک لیوان هست کیت: فکر می کنی اینجاست؟ آره یا نه؟ این تصمیم تو هست و نه من
41	Music) DM: And now I'll attach the filter to the bass for some more expression	موسيقي) د.م.: حال براي جلوه بيشتر فيلتر را به باس اضافه مي كنم. ويدئو
42	Laughter) So actually, I took a carton of orange juice and I poured it in the glass to take this picture	خنده حضار) در حقیقت، من یک قوطی آب پرتقال خریدم و ریختم توی لیوان تا بتونم این عکس رو بگیرم
43	"GAGARlN: ""Space craft continues to rotate. Rotation of space craft can be determined by the Earth's surface"	"گاگارین: ""چرخش فضاپیما ادامه داره. از سطح زمین می فهمم."" سطح زمین به سمت چپ می ره. پس فضاپیما داره به سمت راست می چرخه. خوبه...زیباست...حال من خوبه. پرواز رو ادامه می دم. همه چیز خوب پیش می ره"
44	The second string is a melody string, which is played with a wooden keyboard tuned like a piano	سیم دوم سیم ملودی است، که توسط یک کیبورد چوبی می نوازد مثل پیانو
45	KOROLEV: CEDAR this is DAWN 1. Everything that should be is working	کورولیف: سدار اینجا داون است. همه چیز طبق برنامه کار می کنه. .مرحله آخر طبق برنامه و نرمال پیش می ره. تمام
46	"RADlO MOSCOW: ""The shortwave transmitters aboard the spaceship are operating on 9.019 megacycles and 20.006 megacycles... RADlO MOSCOW: ....on the outer short wave length of 143.625 megacycles"	"رادیو مسکو: ""فرستنده های موج کوتاه فضاپیما روی ۰۱۹/۹ مگاسیکل و ۰۰۶/۲۰ مگاسیکل...."" و طول موج خارجی 625/143مگاسیکل کار می کنند"
47	We are here on earth to help others. What the others are here for, I've no idea	ما اینجا بر روی زمین هستیم که به دیگران کمک کنیم. ما اینجا بر روی زمین هستیم که به دیگران کمک کنیم. کاری که دیگران بخاطرش اینجا هستند را نمی‌دانم
48	The imprint of a man who had been burned inside his own home. The image reminded me of a cave painting, and echoed how primitive we still are in so many ways	اثر مردی که داخل خانه‌‌اش سوزانده شده بود. تصویربرایم یادآور نقاشی روی دیوار غار است و منعکس کننده این که هنوز از بسیاری جهات بدوی هستیم
49	few figures harsh, spot-type lighting main figures in the front foreground, where the viewer picks them out at once	چهره های چند خشن، روشنایی نقطه ای چهره های اصلی در پیش زمینه جو، جایی که بیننده آنها را یک بار دیگر انتخاب میکند
50	Thank you. Thank you. Thank you so much	مرسی, مرسی معاون رئیس‌جمهور ‌اقای بایدن, قاضی ارشد, کارمندهای کنگره ایالات متحده آمریکا, مهمانهای گرامی و هموطنان. معارفه
51	"This is indeed a mystery, I remarked. ""What do you imagine that it means"	"این در واقع یک رمز و راز ، من اشاره کرد. ""نظر شما تصور کنید که به این معنی است؟"
52	Music) DM: Now I'll put some percussion in	موسيقي) د. م.: حالا ريتم به آن اضافه مي كنم. ويدئو
53	"GAGARlN: ""In the right porthole right now, I can see the star. It is passing from left to right in the porthole"	"گاگارین: ""از دریچه سمت راست حالا یه ستاره می بینم. از چپ به راست حرکت می کنه."" ستاره رد شد ... هنوز داره حرکت می کنه"
54	Perhaps the gentlemen don't like the playing? It can be stopped at once	شاید یکی از آقایان بازی را دوست ندارد؟ این را می توان در یک بار متوقف شود
55	Throught the window I see the earth. The ground is clearly discernible	از پنجره می تونم زمین رو ببینم. سطح زمین رو میشه خوب تشخیص داد
56	"This book was published in 1904. It's called ""The Apples of New York"" and this is the second volume. See, we used to have a lot of apples"	"این کتاب در سال 1904 منتشر شده. تحت عنوان "" سیب های نیویورک "" و این چاب دومش است. همان طور که می بینید، در گذشته ما انواع مختلفی از سیب داشتیم. در این جا سیب نوع فاولر این گونه توصیف شده -- و امیدوارم این توصیفات شما را متعجب نکند"
57	"Tell me your data on the flight. ""'Hello' to Blondie!!"" [Alexei Leonov"	اطلاعات پرواز رو به من بگو. به بلوندی [ الکسی لئونوف] سلام برسون
58	It'll go this way for sure. (Laughter) Sir, do you want to empty your pockets, please, sir	خنده) آقا، می‌خواهید جیب‌هایتان را خالی کنید. لطفا، آقا؟ (خنده) پس پرسش این بود، آیا می‌تواند واقعا ماریجوآنا را در کمدهای دانش آموزان پیدا کند؟ و پاسخ این است، اگر شما به اندازه کافی کمدها را باز کنید -- بله
59	Hello. We are now gonna do some slope and y intercept problems as well. y-intercept problems as well	سلام. اکنون ما رفتن به انجام شیب بیشتر و پس از آن شاید برخی از
60	Thank you so much. It's really scary to be here among the smartest of the smart. I'm here to tell you a few tales of passion	بسیار متشکرم. این واقعا ترسناک است که در اینجا حضور داشته باشی در بین باهوش ترین باهوش ها. من اینجا چند داستان از اشتیاق می گویم. یک ضرب المثل یهودی است که من خیلی آنرا دوست دارم: چه چیزی حقیقی تر از خود حقیقت است؟ جواب : افسانه
61	RADlO MOSCOW: The start of the space multi stage rocket is reported to have been successful, RADlO MOSCOW: and after it gained the first cosmic speed, and separated from the last stage of the rocket carrier	"رادیو مسکو : گزارش ها حاکی از آن است که پرتاب راکت چند مرحله ای موفق بوده است. رادیو مسکو: ""و فضاپیما پس از جدایش از مرحله آخر راکت"
62	Now, the Sun... is leaving the [Vzor] mirrors	الان خورشید از آینه های پنجره داره رد می شه
63	"t woven into the texture of the paper. ""What do you make of that?"" asked Holmes. ""The name of the maker, no doubt; or his monogram, rather"	"تی بافته شده به بافت کاغذ. ""نظر شما در آن ایجاد کند؟"" خواسته هلمز. ""به نام ساز ، بدون شک ، یا خود را طغرا ، نه"
64	I am feeling.... No I'm not feeling it. I can see slight rotation of the spacecraft around its axes	احساس می کنم...نه، احساس نمی کنم. می تونم چرخش فضاپیما دور خودش رو ببینم
65	We are transmitting the news about the first human flight into space	"تاس ریپورت: ""اخبار اولین پرواز انسان در فضا را به اطلاعتان می رسانیم"
66	Just be aware of the pressure. And I only want you to allow your hand to float slowly back up from the tabletop as you feel the pressure release, but only when you feel the pressure release. Do you understand	فقط مراقب فشار باش. و فقط می خوام بذاری که دستت هر وقت فشار را احساس کردی به آرامی برگرده بالا اما فقط زمانی که فشار را احساس کردی متوجه شدی؟ فقط بگو آره یا نه. متوجه شدی؟ مرد: بله
67	"What can you tell me about the flight? ""What can you tell me. Over"	درباره پرواز چه اطلاعاتی می تونی بدی؟ چی می تونی بگی؟ تمام
68	Laughter) I didn't know what to say. Kleiner's second law is	خنده) نمی‌دونستم چی بگم. قانون دوم کلاینر اینه که زمانی هست که عکس‌العملِ درست ترسیدنه
69	"My dear Holmes, said I, ""this is too much. You would certainly have been burned, had you lived a few centuries ago"	"عزیزم هولمز ، من گفتم ، ""این بیش از حد بسیار. شما مطمئنا می شده اند سوخته ، به حال شما زندگی می کردند چند قرن پیش"
70	"Music) [""Self evident truths""] [""4,000 faces across America""] (Music) (Applause) iO Tillett Wright"	"۴٫۰۰۰ چهره از سراسر آمریکا""] (موسیقی) (تشویق حاضرین"
71	All radio stations of the Soviet Union are transmitting	"تاس ریپورت: ""همه ایستگاه های رادیویی شوروی مخابره می کنند"
72	"Drew Dernavich. ""Accounting night at the improv."" ""Now is the part of the show when we ask the audience to shout out some random numbers"	"درو درناویچ. ""برنامه‌ی حسابداران در حال بداهه."" ""این قسمتی از نمایش است که ما از حاضرین می خواهیم چند عددِ اتفاقی را فریاد بزنند."" ""پاول نات"". ""او آدم بی نظیری است. فقط کاش کمی از بنا کردن اسرائیل حمایت می کرد"
73	"The feeling of weightlessness... the effect is pleasurable. It causes none of those phenomena. ""Do you understand me"	احساس بی وزنی...لذت بخشه. هیچ کدوم از مشکلاتی که می گفتن رو ندارم. صدای منو می شنوید؟ تمام
74	Laughter) And it's pretty amazing. As Peter tells us, not only do they produce the tallest structures, but they're the most interesting structures of them all	خنده) و این بسیار حیرت‌آور است. همانطور که پیتر به ما می گوید، آنها نه تنها بلندترین سازه‌ها را ساخته‌اند، بلکه سازه آنها از همه سازه‌هاي ديگر جالبتر است. خوب سوالی که می خواهید بپرسید این است: چه طور امکان داره؟ چرا؟ چی درمورد آنها خاصه؟ و پیتر مي‌گويد که،
75	Applause) Machines can not only perform dynamic maneuvers on their own, they can do it collectively. These three quads are cooperatively carrying a sky net	تشویق حاضرین) روبات ها نه تنها می توانند حرکات دینامیک را به تنهایی انجام دهند، بلکه این کار را به طور گروهی نیز انجام می دهند. این سه کواد، به طور مشترک یک شبکه را در هوا تشکیل می دهند
76	This house is 581 ... We have to start collecting from 555. Girls and boys in Hyderabad, going out, pretty difficult, but they did it	581. این خانه پلاک 581 است ...... ما باید از پلاک 555 شروع به جمع کردن کنیم. کیران: دختر ها و پسر ها در حیدرآباد، از مدرسه خارج شدند، خیلی سخت بود، اما آن ها این کار را انجام دادند
77	Diseases as common as depression, trauma, and phobia often aren't caught in prison reception screenings, and once in prison, the chances of getting adequate treatment plummet because the system doesn't have the capacity for it, and because the environment is more punitive then rehabilitative	بیماریهای متداول همچون افسردگی، ضایعه روحی، و ترس بیمارگونه در معاینات پذیرشی زندان شناخته نمی شوند، و وقتی در زندان مشاهده می شوند، شانس دریافت درمان کافی پایین است چون سیستم قابلیت آن را ندارد و چون محیط بیشتر تنبیهی است تا ترمیمی
78	Laughter) Now, I remember when I was about 15, (Laughter) I read a copy of Life magazine, which detailed a story about a 75-year-old blind Russian woman who could sense printed letters -- there's still people trying to do it -- (Laughter	خنده حضار) یادم می آد وقتی تقریباً 15 سالم بود، یک کپی از مجله زندگی خوندم که داستانی با جزئیات از یک زن نابینای روسی داشت که می تونست داستان های چاپ شده رو حس کنه - هنوز بعضی ها اینجا دارن سعی می کنن اون کار رو انجام بدن (خنده حضار
79	Applause) In fact, when fully extended, this is roughly five times greater than what a bungee jumper feels at the end of their launch	تشویق حاضرین) در حقیقت، وقتی تور به طور کامل باز می شود، این کشش نزدیک به ۵ برابر، بیشتر از کششی است که یک ورزشکار بانجی جامپینگ، در طناب بسته شده به پایش احساس می کند
80	what does a new car smell like?, who knows the answer	ماشین نو چه بویی می‌دهد؟ دارید، چه کسی جواب آن را می‌داند؟
81	But freedom to choose, to change and make up your mind, is the enemy of synthetic happiness. And I'm going to show you why. Dilbert already knows, of course	یعنی امکان فکر کردن و تغییر دادن انتخاب ها -- دوست و همراه شادی طبیعی است چرا که به شما امکان می دهد از بین همه خواص خوبی که وجود دارد آنهایی که بیشترین لذت را برای شما به همراه دارند انتخاب کنید. اما آزادی انتخاب
82	"GAGARlN: ""Now through the Vzor I can see Earth, I can see Earth. I'm flying over the sea"	"گاگارین: ""حالا می تونم از پنجره زمین رو ببینم. روی دریا هستم."" راحت میشه جهت حرکت رو روی دریا مشخص کرد. فکر می کنم دارم به سمت راست حرکت می کنم"
83	"BBC RADlO: Radio communications have been established and maintained with him."" BBC RADlO"	"رادیو بی بی سی: ""ارتباط مخابراتی با گاگارین همچنان برقرار است."" رادیو بی بی سی: ""حال او خوب است و شرایط کابین نرمال گزارش می شود."" رادیو بی بی سی: ""پرواز فضاپیما ادامه دارد"
84	To Horse Face, with love from Geoffrey Dickens, M.P. After it had been sent off, his secretary said to him	به صورت اسبی٬ با عشق از طرفِ جئوفری دیکِنز٬ عضو مجلس. وقتی که آن عکس ارسال شد٬ منشی‌اش به او گفت٬
85	So, the busiest streets closed down. We have the traffic police and municipal corporation helping us. It gets taken over by children	همان طور که می بینید، شلوغ ترین خیابان های شهر بسته شده اند. پلیس راهنمایی و رانندگی و شهرداری برای این کار به ما کمک کردند. خیابان ها پر از بچه ها شده اند. آن ها اسکیت بازی و بازی های خیابانی دیگر انجام می دهند. همه ی بچه ها مجانی بازی می کنند
86	in association with YURI GAGARlN 50 AND YURl'S NlGHT director of photgraphy PAOLO NESPOLI film editor STEPHEN SLATER composer PHlLIP SHEPPARD	با همکاری سازمان شب یوری و یوری گاگارین 50 مدیر فیلم برداری: پائولو نسپولی تدوین: استفن اسلتر موسیقی: فیلیپ شپرد
87	Has anybody here seen that film? Yeah. Remember when they threw the Coke out of the airplane, and it landed on the ground, and it didn't break	تشویق) یادتون می آد زمانی که شیشه نوشابه رو از هواپیما بیرون انداختند و افتاد روی زمین و نشکست؟ ببینید این برای این است که شیشه های نوشابه سفت و محکم هستند تقریباً غیرممکن هست که یک شیشه نوشابه را بشکنیم. می خوای امتحان کنی؟ خوب بود
88	Applause) (Music) (Clapping) Keep up with Derek. (Music	"تشویق) (موزیک)(صدای دست زدن) با ""دِرِک"" دست بزنین (موزیک"
89	And Brueghel presents his main subjects - *Christ carrying the cross, St. Paul *	و بروگل موضوعات اصلی را ارائه می دهد - حمل صلیب مسیح *، * سنت پل *
90	Laughter) But in America, they've coined this term	"خنده) ولی در آمریکا اون ها این لقب را به ""دِرِک"" دادن"
91	His areas of darkness are theatrically effective in two ways: They focus our attention by simplifying the composition** They *draw us into the picture by suggesting a world* which our imagination can enter and fill	حوزه تاریکی اونمایشی موثر به دو روش است: آنها توجه ما را با *ساده کردن* ترکیب نقاشی *متمرکز میکنند * ** آنها * ما را به * درون تصویر میکشانند * با ارائه یک جهان که از تصور ما می توانید وارد آن شود و آن را پر کند
92	Laughter) And so, as you stand back, you see 213,000 Vicodin pills, which is the number of hospital emergency room visits yearly in the United States, attributable to abuse and misuse of prescription painkillers and anti-anxiety medications	خنده حضار) وقتی عقب بایستید، ۲۱۳٫۰۰۰ قرص ویکودین ‌می‌بینید، که تعداد اتاق‌های ویزیت اورژانسی‌ست که سالانه در آمریکا به خاطر اشتباه یا بد استفاده‌کردن مسکن‌های تجویزشده و داروهای ضداضطراب است. یک سوم مصرف بیش‌ازحد مواد در آمریکا
93	"Laughter) He'll say, ""Doctor, this is not Fifi. It looks exactly like Fifi, but it's some other dog."" Right"	"خنده حاضرین) اون می‌گه: ""دکتر، این فیفی نیست، دقیقا شبیه فیفیه، ولی یه سگ دیگه است"" درست؟ حالا سعی کنید تعبیر فرویدی رو اونجا به کار بگیرید"
94	That's at 78 degrees north. It's as far as you can fly on a regularly scheduled airplane	78 درجه به طرف شمال. این دورترین مسافتی است که می توانید با یک پرواز عادی هواپیما طی کنید
95	Laughter) There you have an interesting -- the guilty laugh, the laugh against your better judgment	خنده ی حاضرین) شما به طرز جالبی خواهید خندید -- همراه با احساس گناه، خنده ای بر خلاف نظری که واقعاً در ذهن خود دارید
96	"A non-profit organization devoted to ""ideas worth spreading"	"یک سازمان غیر انتفاعی که خود را وقف ""گسترش ایده‌های با ارزش"" کرده"
97	A group of men march through the streets cutting themselves with knives. It was obvious that the Shi'ites were a force to be reckoned with, and we would do well to understand them and learn how to deal with them	گروهی از مردان در خیابانها با قمه‌زنی راهپیمایی می‌کردند. مشهود بود که شیعه‌ها نیرویی مهم و قدرتمند بودند و ما بهترین تلاش خود برای فهمیدن آنها و یادگیری نحوه برخورد با آنها را کردیم
98	The benefits are obvious: viewers are drawn into the picture, They have to make sense of it, think about it, and then reinterpret the things they first noticed in the light of a bible story	منافع و مصلحت‌ها بدیهی هستند: بینندگان به تصویر کشیده شده اند، آنها باید آن را احساس کنند، در مورد آن فکرکنند، و سپس چیزهایی را که در ابتدا متوجه شده اند را درروشنایی داستان کتاب مقدس تفسیر مجدد کنند
99	In the last few videos, we talked about how to do forward-propagation and back-propagation in a neural network in order to compute derivatives	در چند ویدئو قبل، درباره‌ی نحوه‌ی انجام انتشار به جلو و انتشار رو ب عقب (پس‌انتشار) در شبکه عصبی به منظور محاسبه‌ی مشتق‌ها صحبت کردیم
100	With a nod he vanished into the bedroom, whence he emerged in five minutes tweed- suited and respectable, as of old	با سر اشاره کردن او را به اتاق خواب از میان رفت ، از چه رو او را در پنج دقیقه ظهور پشم ونخ راه راه ، مناسب و قابل احترام ، تا قدیمی است
101	"Seven! I answered. ""Indeed, I should have thought a little more"	"هفت من جواب داد. ""در واقع ، من باید کمی فکر بیشتر. فقط اما واتسون چیز جزیی تر ، من تصور ،. و در عمل دوباره ، من را مشاهده کند. شما به من نگفت که شما در نظر گرفته شده برای رفتن به مهار "". ""پس ، چگونه می دانید؟"
102	For our auction we have some wonderful paintings for you, for a very good cause, the money you give us will be used to buy hearing aids	شما یک دلیل خوب برای شرکت در حراج دارید،
103	Laughter) But we came together at the end of the month and we celebrated our journey, and it was a real journey. And we had a lot of fun, and in 2004, I said to the guys	خنده حاضرین) اما آخر ماه دور هم جمع شدیم و سفرمون رو جشن گرفتیم٬ و واقعا هم یک سفر بود. کلی خوش گذرونیم و در سال ۲۰۰۴ به رفقام گفتم٬
104	Derek can play it on. So if I just choose a note at random, like that one. (Piano notes	"دِرِک تو هم میتونی اون را بزنی. بنابرین من همین جوری یه نت رو انتخاب می کنم (نت پیانو) تو میتونی ""پرواز زنبورها"" رو تو این نت اجرا کنی؟ درک پاراوینسی : ""پرواز زنبور ها"" تو این نت"
105	Elsewhere in Africa there was famine. In Somalia, the central government collapsed and clan warfare broke out. Farmers were driven off their land, and crops and livestock were destroyed or stolen	جای دیگر در آفریقا قحطی بود. در سومالی، حکومت مرکزی سقوط کرد و جنگ طایفه‌ای گسترش یافت. کشاورزان از زمین‌هایشان رانده شدند، و محصولات و احشام نابود یا دزدیده شدند. از گرسنگی‌دادن مهلک بعنوان اسلحه کشتار جمعی استفاده شد -- بدوی اما بشدت موثر. صدها هزار نفر تلف شد، به آرامی و دردناک
106	Laughter) The second point, or course, is that if somebody invites you to bar hop, you know what they think about you	خنده) نکتهٔ دوم، یا آموزه، این است که اگر کس دیگری شما را دعوت کرد، می‌دانید که دربارهٔ شما چه فکر می‌کند
