id	en	ur
62	It was a marriage just like any other marriage	یہ صرف کسی دوسرے کی شادی کی طرح ایک شادی تھی
63	What gets me is the way those lawyers talk and talk and talk even when it's an open-and-shut case like this one	مجھے کیا ہو جاتا ہے ان وکلاء بات کرنے اور بات کرنے اور بات کرتے ہیں طریقہ ہے یہ اس طرح ایک بند کھلے اور معاملہ ہے اس وقت بھی جب
64	He hates everybody that has anything that he can't have	انہوں نے کہا کہ نہیں ہو سکتا ہے کہ کچھ بھی نہیں ہے کہ ہر کسی سے نفرت کرتا ہے
65	Fine friends, running off when things heat up, leaving you right in the fire	چیزوں کو گرم جب فائن دوست، دور چل رہا ہے، حق آگ میں آپ کو چھوڑ کر
66	Swung the election to one American president at least	کم از کم ایک امریکی صدر کے انتخابات شکار تھی
67	And a man cannot be punished for that for which he is not responsible	اور ایک شخص وہ ذمہ دار نہیں ہے جس کے لئے اس کے لئے سزا نہیں کر سکتے ہیں
68	I know what I'm gonna do tomorrow and the next day and next year and the year after that	میں نے کل والا کرتے رہا ہوں پتہ اگلے دن اور اگلے سال اور اس کے بعد سال اور
69	I ain't got time to spend what I make here	میں یہاں کیا خرچ کرنے کے لئے وقت نہیں ہے
70	Your husband is only trying to be funny calling me one	آپ کے شوہر کو صرف ایک مجھے بلا عجیب بننے کے لئے کوشش کر رہی ہے
71	Sorry, monsieur, we were never to handle the police	معذرت، مہاشی، ہمیں پولیس کو ہینڈل کرنے میں کبھی نہیں کیا گیا
72	I've changed the front page a little, Mr. Bernstein	میں نے فرنٹ پیج کو ایک چھوٹی سی، مسٹر برنسٹین تبدیل کر دیا ہے
73	Well, most people say you stole all the rest	ویسے، زیادہ تر لوگوں کو تم سے باقی سب چرایا کہنا
74	And what if you track down these men and kill them	اور تم ان آدمیوں نے کیا نیچے سے باخبر رھنے اور اگر ان کو قتل؟
75	Undoubtedly, their next step will be to the black market	میں کوئ شک نہیں، ان کے اگلے قدم بلیک مارکیٹ کے لئے ہو جائے گا
76	George, there is a rumor around town that you've closed your doors	جارج، آپ کو اپنے دروازے بند کر دیا ہے کہ شہر کے ارد گرد ایک افواہ ہے
77	You only made the paper over four times tonight, that's all	آپ صرف یہ کہ تمام ہے، چار گنا سے زیادہ آج رات کاغذ بنا دیا
78	We gotta get in if we're gonna search the whole place	ہم والا پوری جگہ تلاش کر رہے ہیں تو میں جانا ہوگا
79	It may not be about anything at all	یہ بالکل کچھ کے بارے میں نہیں ہو سکتا
80	Since then, the building's stood empty, and no one gives a damn about it	اس کے بعد سے، عمارت کی خالی کھڑے ہوئے، اور کوئی بھی اس کے بارے میں ایک لات دیتا ہے
81	No one has the right to kill a man who cannot be held responsible for his crimes	کوئی بھی ایک شخص کو قتل کرنے کا حق ہے جو ان کے جرائم کے لئے ذمہ دار منعقد نہیں کیا جا سکتا ہے
82	It's rather confidential, what I have to say	یہ میں نے کیا کہنا ہے، بلکہ رازدارانہ ہے
83	You know, if it wasn't me talking, I'd say you were the prettiest girl in town	یہ تھا کہ اگر تم جانتے ہو، مجھے بات نہیں، میں نے آپ کو شہر میں سب سے خوبصورت لڑکی تھے کہونگا
84	You're making a bigger fool of yourself than I thought	تمہیں پتہ ہے میں نے سوچا کے مقابلے میں اپنے آپ کو ایک بڑے بیوکوف بنا رہے ہیں
85	Now, I have stated my side very frankly	اب، میں بہت واضح طور سے میری طرف کہا ہے
86	I take that as a great compliment to Sam	میں لے کہ سیم کے لئے ایک عظیم تعریف کے طور پر
87	What I said is none of your business	کیا میں نے کہا تمہارا کام نہیں ہے
88	Welcome home, Mr. Kane, from 467 employees of the New York Inquirer	گھر میں خوش آمدید، مسٹر کین، نیویارک انکوائرر کے 467 ملازمین سے
89	It's beginning to dawn on Jim Gettys I mean what I say	یہ جم مسافر پر نمودار ہونا شروع ہو گیا ہے میں نے کا کہنا ہے کہ کیا مطلب
90	It's too dangerous to let him go, it may be too dangerous to let him stay	یہ اسے رہنے دو کرنے کے لئے بہت خطرناک ہو سکتا ہے، اسے جانے کے لئے بھی خطرناک ہے
91	It's not our function to report the gossip of housewives	یہ گرہنتیوں میں گپ شپ رپورٹ کرنے کے لئے ہمارے تقریب نہیں ہے
92	Tell me, honestly don't you think it's rather unwise to continue this philanthropic enterprise this Inquirer, that is costing you $1 million a year	ایمانداری، مجھے بتائیں آپ اس کو اس رفاہی انٹرپرائز کو جاری رکھنے کی بجائے دانشمندی نہیں لگتا یہ انکوائرر، کہ آپ $ 1 ملین ایک سال کی لاگت ہے؟
93	Whether or not you will succeed is problematic	آپ کو کامیاب ہوں گے یا نہیں اشکال ہے
94	What were the last words he said on Earth	وہ زمین پر کہا آخری الفاظ کیا تھے؟
95	The bottle you took the powder from, it's poison	آپ کی طرف سے پاؤڈر لیا بوتل، یہ زہر ہے
96	Look, Mr. Potter, it's no skin off my nose	دیکھو، مسٹر پوٹر، یہ میری ناک دور کوئی جلد ہے
97	There's a branch of the local savings bank on the ground floor, and the second to sixth floors are nothing but offices	گراؤنڈ فلور کے فرش پر مقامی بچت بینک کی ایک شاخ ہے، اور چھٹی منزل پر دوسرے دفاتر سوا کچھ نہیں ہیں
98	Wife gave me this on my last birthday	بیوی میری آخری سالگرہ پر مجھے یہ دیا
99	He is an intelligent, smart, ambitious young man, who hates his job, who hates the Building and Loan almost as much as I do	وہ ایک ذہین، ہوشیار، پر عزم جوان آدمی ہے، جو عمارت اور قرض سے نفرت کرتا ہے جو ان کے کام، سے نفرت کرتا ہے تقریبا جتنا میں کرتا ہوں کے طور پر
100	Victor, I feel somehow we shouldn't stay here	وکٹر، میں نے کسی نہ کسی طرح ہم یہاں نہیں رہ چاہئے
101	Joe, you had one of those Potter houses, didn't you	جو، آپ کو آپ کو، ان لوگوں پوٹر گھروں میں سے ایک نہیں تھا تھا؟
102	Out of which, after supporting your mother and paying your bills, you're able to keep, say, $1 0, if you skimp	جس میں سے، تیری ماں کی حمایت اور اپنے بلوں کی ادائیگی کے بعد، کیا آپ کمجوسی ہے تو،، کا کہنا ہے کہ، $ 10 رکھنے کے لئے کے قابل ہو
103	When I was sick in Marseilles for two weeks and you were in danger every minute why didn't you leave me then	میں نے دو ہفتے کے لئے قسم میں بیمار تھا اور جب آپ خطرے میں ہر منٹ تھے کیوں اگر تم مجھے نہیں چھوڑ دیا؟
104	What is it, a sore throat or what	گلے کی خراش یا کیا، یہ کیا ہے؟
105	You talk about the people as though you owned them	آپ ان کے مالک تھے جیسے آپ لوگوں کے بارے میں بات کرتے ہیں
106	Mr Secretary, you don't seem to have a clear picture of the enormous obstacles confronting our forces	مسٹر سیکرٹری، آپ کو ایک واضح تصویر ہے لگتا نہیں ہے بہت زیادہ رکاوٹیں کھڑی کی ہماری افواج کا مقابلہ
107	That property is as much my property as anybody's now that it's valuable	اس جائیداد پر زیادہ سے زیادہ کسی کے طور پر میری ملکیت ہے اب یہ قیمتی ہے کہ
108	There's only one thing right for a man like you - death	موت - صرف ایک بات صحیح تمہارے جیسے آدمی کے لئے نہیں ہے
109	Is that really your idea of how to run a newspaper	ایک اخبار کو چلانے کے لئے کس طرح کی ہے کہ واقعی آپ کے خیال ہے؟
110	Get rid of the letters, take all the risk, for a small percentage	خطوط سے چھٹکارا حاصل کریں، ایک چھوٹے سے فی صد کے لئے، تمام خطرے کو لینے
111	But neither you nor anybody else can say anything against his character, because his whole life was	لیکن نہ تم اور نہ ہی کسی اور، اس کے کردار کے خلاف کچھ کہہ سکتے ہیں ان کی پوری زندگی تھی کیونکہ
112	Maybe he told us about himself on his deathbed	شاید وہ ان کے بستر مرگ پر اپنے بارے میں ہمیں بتایا
113	To start with, I think I'll break your neck	کے ساتھ شروع کرنے کے لئے، میں نے آپ کی گردن توڑ دونگا
114	What do you mean sending her home like that, half naked	آدھے ننگے، اس طرح سے اس کے گھر بھیجنے سے آپ کا کیا مطلب ہے؟
115	Do you wish to place another bet, sir	آپ، صاحب کسی دوسری شرط رکھنے کے لئے چاہتے ہیں؟
116	I thought he was really sharp, the way he handled all those points one by one	میں، وہ واقعی تیز تھا وہ ایک کی طرف سے ان تمام لوگوں کے پوائنٹس میں سے ایک سنبھالا طریقہ سوچا
117	Chief, is it not, that on this occasion, Charles Foster Kane personally attacked you after striking you in the stomach with a sled	چیف، یہ نہیں ہے، اس موقع پر، چارلس فوسٹر کین ذاتی طور پر ایک سلیج کے ساتھ پیٹ میں آپ کو مارتے بعد آپ پر حملہ؟
118	I gotta take over a lot of plates and things	میں نے پلیٹیں اور چیزوں کی ایک بہت پر قبضہ کرنا ہے
119	If you wish, you may come with me	اگر آپ چاہیں تو آپ میرے ساتھ آ سکتا ہے
120	Until their children grow up and leave them	ان کے بچے بڑے ہو جاتے ہیں اور ان کو چھوڑ دیں جب تک؟
121	I think I'll go home and see what the wife's doing	میں نے گھر جا کر بیوی کی کر رہی ہے نظر آئے گا لگتا ہے کہ
122	Teacher says every time a bell rings, an angel gets his wings	استاد ایک فرشتہ اس کے پنکھ ہو جاتا ہے، ایک گھنٹی بجتی ہے ہر بار کہتا ہے
123	I had no idea you had this flair for melodrama, Emily	میں نے آپ کو ڈرامہ، ایملی کے لئے یہ روانی تھا کوئی اندازہ نہیں تھا
124	But what a fool I am talking to a beautiful woman about another man	لیکن جو احمق نے ایک اور شخص کے بارے میں ایک خوبصورت عورت سے بات کر رہا ہوں
125	Uh, here's what I think, and I have no personal feelings about this	اہ، یہاں مجھے لگتا ہے کیا ہے، اور میں نے اس کے بارے میں کوئی ذاتی جذبات ہے
126	There's one thing you can do for me	تم نے میرے لئے کیا کر سکتے ہیں ایک ہی چیز ہے
127	I expect to lose $1 million next year	میں اگلے سال 1 ملین ڈالر سے محروم کرنے کی امید رکھتے ہیں
128	I wish I didn't love you so much	میں نے آپ کو اتنا پیار نہیں کیا خواہش ہے
129	Well, our friend outside will think we've retired by now	ویسے، ہمارے دوست کے باہر ہم اب ریٹائر ہے لگتا گا
130	I figured us for an assault or burglary	میں نے ایک حملہ یا چوری کے لئے ہم سے سوچا
131	A man doesn't get in a situation like this every day	ایک شخص کو اس ہر دن کی طرح ایک ایسی صورت حال میں نہیں ملتا
132	It may interest you to know that at this very moment he's on his way here	یہ اسی وقت وہ یہاں آ رہا ہے کہ میں جاننا آپ کو دلچسپی ہو سکتی ہے
133	Oh, no, don't. I love that old house	اوہ، نہیں، ایسا نہیں کرتے. میں نے اس کے پرانے گھر سے محبت کرتا ہوں
134	For friends of Rick's we have a small discount	رک کے دوستوں کے لئے ہم نے ایک چھوٹی سی رعایت ہے
135	You know there's not the slightest proof this	تم ذرا دلیل یہ وہاں نہیں ہے جانتے ہیں
136	In their hunt for this unknown killer, the police have tracked down more than 1,500 detailed leads	اس نامعلوم قاتل کے لئے ان کے شکار میں، پولیس 1،500 سے زائد تفصیلی لیڈز نیچے ٹریک کی ہے
137	Oh, confound it, man, are you afraid of success	اوہ، یہ درہم برہم، آدمی، آپ کو کامیابی سے ڈرتے ہیں؟
138	You may recall what German guarantees have been worth in the past	آپ نے ماضی میں سفر کے قابل کیا گیا ہے جرمن کیا ضمانت دیتا ہے یاد کر سکتے ہیں
139	I'm the fellow that owns the car that ran into your tree	میں آپ کے درخت سے ٹکرا گئے کہ گاڑی کا مالک ہے کہ ساتھی ہوں
140	Hey, send us some of those picture postcards, will you, George	ارے،،، ہمارے جارج تم نے ان کی تصویر پوسٹ کے کچھ گے بھیج؟
141	I'm giving him the chance of a lifetime, do you hear	میں نے اس سے، تم نے سنا ہے ایک زندگی بھر کا موقع دے رہا ہوں؟
142	Boy, you'd think they'd at least air-condition these places	لڑکے، آپ کو وہ کم از کم ہوا کی شرط ان جگہوں لگتا تھا
143	They've gone nuts, got this murderer on the brain	انہوں نے دماغ پر اس قاتل مل گیا، گری دار میوے چلا گیا ہے
144	I was with them when they blundered into Berlin in 1918	وہ 1918 ء میں برلن میں غلطی جب میں ان کے ساتھ تھا
145	Oh, wait a minute. I forgot the bags	اوہ، ایک منٹ رکو. میں نے تھیلے بھول گیا
146	It's obvious the people prefer Jim Gettys to me	یہ لوگوں نے مجھ سے جم مسافر کو ترجیح واضح ہے
147	And the fun of it, if I may say so	اور اس کا مذاق، میں ایسا کہہ سکتا ہے
148	She sent it because I told her it wouldn't be smart not to	میں نے یہ نہیں کرنے کے لئے ہوشیار نہیں ہو گی اس سے کہا کیونکہ اس نے اسے بھیجا
149	Above a saloon, it's true but walk up a flight I'll be expecting you	ایک سلون سے بڑھ کر، یہ سچ ہے لیکن ایک پرواز تک چل میں آپ کی توقع ہو جائے گا
150	I'm sorry there was a disturbance, folks, but it's all over now	میں نے ایک خرابی، لوگ وہاں تھا افسوس ہے، لیکن یہ سب اب ختم ہو چکا ہے
151	Why did you send Junior home in the car	کیوں آپ کی گاڑی میں جونیئر گھر بھیجا؟
152	Well, then, why am I seeing all these strange things here	ٹھیک ہے، تو، میں یہاں کیوں ان تمام عجیب باتیں دیکھ رہا ہوں؟
153	Scotland Yard laid a trap for him once on a bank job he pulled in London	اسکاٹ لینڈ یارڈ نے لندن میں نکالا ایک بینک کو کام پر ایک بار اس کے لئے ایک جال بچھایا
154	I am moved to make one more suggestion	میں نے ایک اور تجویز کرنے کے لئے منتقل کر رہا ہوں
155	Who do you think you are, pushing me around	کیا آپ، میرے ارد گرد دھکیل رہے ہیں کیا لگتا ہے؟
156	You know, let us know what you're thinking	تم، ہمیں آپ کیا سوچ رہے ہیں بتائیں جانتے ہیں
157	A guy standing on a station platform in the rain with a comical look on his face because his insides have been kicked out	بارش میں ایک اسٹیشن کے پلیٹ فارم پر کھڑے ایک لڑکے اس کے چہرے پر ایک ہاسیکر نظر کے ساتھ اپنے اندر سے نکال باہر کیا گیا ہے کیونکہ
158	It seems that destiny has taken a hand	یہ قسمت کے ایک ہاتھ اٹھائے ہیں کہ لگتا ہے
159	You will spend that hour getting acquainted with George Bailey	تم اسی وقت جارج بیلی کے ساتھ واقف ہو رہی خرچ کرے گا
160	Merry Christmas, you wonderful old Building and Loan	میری کرسمس، آپ کو حیرت انگیز پرانی عمارت اور قرض
161	I mean, there's a bit, but it's not what gets people up in the morning, what keeps them at their desks	میرا مطلب ہے کہ، تھوڑا سا ضرور، لیکن ایسا نہیں کہ لوگوں کو صبح جگاتا ہو- وہ ان کو ان کے ڈیسک پر نہیں بٹھاۓ رکھتا
162	When you look at the periodic table right here, they are actually written in order of atomic number, and the atomic number is	جب آپ اس دوری جدول کو دیکھتے ہیں، تو یہ ایٹمی نمبر کی ترتیب سے لکھا گیا ہے، اور ایک عنصر میں
163	It takes some time to change for this, but on the axises, you can quite easily get any variable you would like to have	اس کو تبدیل کرنے میں کچھ وقت لگتا ہے، لیکن خطوطِ مستقیم پر، آپ کوئی بھی متغیرہ کافی آسانی سے حاصل کر سکتے ہیں
164	Apart from the fact that improper replication of the DNA molecule causes genetic disease, we've understood nothing else	اس بات کے علاوہ کہ ڈی. این . اے سالموں کی بے قاعدہ تخلی موروثی بيماريوں کا مؤجب ہو سکتی ہے، اس سے زيادہ ہماری سمجھ ميں کچھ نيہں آيا
165	When it was just an eight we just started multiplying here	جب یہ 8 تھا تو ہم نے یہاں سےشروع کیا تھا
166	D. Evans] There are lots of different ways you could have solved this	﻿ اس کو ھل کرنے کہ کئی طریقے ہیں
167	We also have another problem, which is that women face harder choices between professional success and personal fulfillment	ہمارا ایک اور بھی مسلہٴ ہے کہ خواتیں کوکام اور ذاتی زندگی کے درمیان چننے میں مشکل پیش آتی ہے
168	So here we have one, two, three, four, five numbers behind the decimal point	تو یہاں ہمارے پاس ہیں ایک، دو، تین، چار. پانچ نمبر اشارہ کے پیچھے ہیں
169	We did this software which displays it like this: every bubble here is a country	ہم نے یہ سافٹ ویٹر بنایا جس میں یوں نظر آتا ہے: یہاں ہر بلبلہ ایک ملک ہے
170	What's special about the terminals is they never appear on the left side of a rule	مکمل کی خاص بات یہ ہے کہ وہ الٹے ہاتھ پر نہیں ہوتے
171	Have a safe trip. - Yeah, give me the suitcase	ایک محفوظ سفر کیا. - جی ہاں، آپ کے وزٹرز کا ریکارڈ رکھا اٹیچی دے
172	Survival with the awesome technology that we do have today	اور یہ سب مسایل اتنی ٹیکنالوجی کے ھوتے ھوے بھی؟
173	It may not be obvious to you because I've drawn it slightly different, but I'll give you a small hint with an appropriately interesting color	یہ شاید آپ کو واضع نہ ہو کیونکہ یہ میں نے ٹھوڑا سا الگ کھینچا ہے لیکن میں آپ کو اشارہ دوںگا ایک دلچسپ رنگ کے ساتھ
174	Sunni, Allawi, Kurdi, Shiite, Dursi , we are all brothers	سننی، علوی، ترکی، شیء ہم سب بہائیں ہیں، ہم سب دوست ہیں
175	And actually, you could plot the graph of this and you'll see that they're identical	اور اگر آپ اس کا گراف بنائیں تو آپ دیکھیں گے کہ یے ایک جیسے ہیں
176	And then finally what if it I had -- let me think of some good numbers -- minus 6 times minus 11	اور پھر آخر میں اگر میرے پاس ہو—مجھے کچھ اچھے نمبر سونچنے دیں--- منفی چھ دفعہ منفی گیارہ
177	So that brings us to the first problem that I'll raise this morning, which is how do we stop a deadly disease that's spread by mosquitos	تو اب ہم اس مسئلے پر پہنچ گئے ہیں جو میرا آج کا پہلا موضوع ہے، اور وہ یہ ہے کہ ہم اس جان لیوا بیماری کو کیسے ختم کرسکتے ہیں جو مچھروں سے پھیلتی ہے؟
178	When I started this organization, I was 17 years old	جب میں نے یہ ادارہ شروع کیا تو میں 17 سال کا تھا
179	Death Valley is the hottest, driest place in America, and nothing grows there	،ڈیتھ ویلی گرم ترین، خشک ترین جگہ ہے امریکہ میں اور وہاں کچھ نہیں اُگتا
180	Now let's see if they can both be negative	اب یہ دیکھتے ہیں کہ کیا یہ دونوں منفی ہو سکتے ہیں
181	Their parents are so poor, they have no resources to get them back	ان کے والدین بہت غریب ہیں، انکے پاس کوئی وسائل نہیں انکو واپس حاصل کرنے کے لئے
182	Of course, mapping is one of those obvious applications for a technology like this	بلاشبہ، اس قسم کی نمایاں ٹیکنالوجی کا ایک اطلاق نقشوں پر بھی ہوتا ہے
